Codice,Provincia,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
001,Torino,1102767,1174919,2277686,10934,10229,21163,11161,11934,23095,-227,-1705,-1932,34444,33878,68322,11366,12597,23963,726,244,970,35597,34814,70411,1696,1385,3081,2938,1589,4527,6305,8931,15236,1103450,1172171,2275621,5395,9974,15369,0,0,0,1108845,1182145,2290990,1036372,1126,2.2
002,Vercelli,85701,91666,177367,682,691,1373,1095,1248,2343,-413,-557,-970,2711,2733,5444,615,833,1448,1456,1157,2613,2623,2677,5300,176,112,288,135,68,203,1848,1866,3714,86521,91718,178239,615,1257,1872,0,0,0,87136,92975,180111,81816,125,2.2
003,Novara,175677,186227,361904,1695,1686,3381,1863,2095,3958,-168,-409,-577,6554,6294,12848,1890,2135,4025,300,164,464,5529,5510,11039,258,192,450,487,209,696,2470,2682,5152,177159,186896,364055,820,1604,2424,0,0,0,177979,188500,366479,158269,188,2.3
004,Cuneo,285662,294851,580513,2860,2694,5554,3206,3450,6656,-346,-756,-1102,8606,8737,17343,2885,3364,6249,166,71,237,7779,8095,15874,335,341,676,424,246,670,3119,3490,6609,286544,294110,580654,1891,3475,5366,0,0,0,288435,297585,586020,251098,505,2.3
005,Asti,106032,112049,218081,1027,887,1914,1312,1491,2803,-285,-604,-889,3289,3387,6676,1327,1445,2772,50,24,74,2984,3022,6006,185,154,339,134,79,213,1363,1601,2964,106354,111617,217971,756,1429,2185,0,0,0,107110,113046,220156,96083,163,2.3
006,Alessandria,210089,225802,435891,1775,1669,3444,2884,3323,6207,-1109,-1654,-2763,6535,6625,13160,2136,2615,4751,198,63,261,5742,5867,11609,271,192,463,351,151,502,2505,3093,5598,210330,224723,435053,1155,2518,3673,0,0,0,211485,227241,438726,202393,293,2.1
007,Aosta,61978,64001,125979,671,625,1296,589,666,1255,82,-41,41,2528,2347,4875,448,640,1088,47,23,70,2425,2202,4627,90,98,188,117,56,173,391,654,1045,61952,64185,126137,499,429,928,0,0,0,62451,64614,127065,59053,101,2.1
008,Imperia,105153,114230,219383,877,841,1718,1396,1551,2947,-519,-710,-1229,3209,3301,6510,1111,1399,2510,185,68,253,2961,3036,5997,234,213,447,174,97,271,1136,1422,2558,105068,113811,218879,702,1131,1833,0,0,0,105770,114942,220712,105527,144,2.1
009,Savona,135599,149467,285066,1120,1051,2171,1735,2026,3761,-615,-975,-1590,4764,4941,9705,1327,1453,2780,173,57,230,4247,4548,8795,199,178,377,247,126,373,1571,1599,3170,136041,148848,284889,514,1243,1757,0,0,0,136555,150091,286646,141511,212,2
010,Genova,417943,465835,883778,3489,3401,6890,5581,6476,12057,-2092,-3075,-5167,7760,8086,15846,3646,4440,8086,691,336,1027,7860,8125,15985,576,450,1026,1228,696,1924,2433,3591,6024,415971,461833,877804,2313,4518,6831,0,0,0,418284,466351,884635,433114,530,2
