2006,,,,,,,2007,,,,,,2008,,,,,,2009,,,,,,2010,,,,,,2011,,,,,,2012,,,,,,2013,,,,,,2014,,,,,,2015,,
Regione,Popolazione al 1� Gennaio - Maschi,Popolazione al 1� Gennaio - Femmine,Popolazione al 1� Gennaio - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Popolazione al 1� Gennaio - Maschi,Popolazione al 1� Gennaio - Femmine,Popolazione al 1� Gennaio - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Popolazione al 8 ottobre - Maschi,Popolazione al 8 ottobre - Femmine,Popolazione al 8 ottobre - Totale,Popo+AR1+AL2:AP23+AL2:AQ25+AL2:AQ24+AL2:AL2:AQ22,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale
Piemonte                           ,2105545,2236188,4341733,2111322,2241506,4352828,2111322,2241506,4352828,2134187,2267079,4401266,2134187,2267079,4401266,2149373,2283198,4432571,2149373,2283198,4432571,2154826,2291404,4446230,2154826,2291404,4446230,2158445,2298890,4457335,2158445,2298890,4457335,2161685,2302204,4463889,2101852,2255811,4357663,2110576,2263476,4374052,2110576,2263476,4374052,2146570,2290228,4436798,2146570,2290228,4436798,2140294,2284173,4424467,2140294,2284173,4424467
Valle D'Aosta                      ,61021,62957,123978,61433,63379,124812,61433,63379,124812,61978,64001,125979,61978,64001,125979,62451,64614,127065,62451,64614,127065,62743,65123,127866,62743,65123,127866,62803,65427,128230,62803,65427,128230,62905,65658,128563,61775,64845,126620,62391,65453,127844,62391,65453,127844,62753,65838,128591,62753,65838,128591,62564,65734,128298,62564,65734,128298
Liguria                            ,764076,846058,1610134,763406,844472,1607878,763406,844472,1607878,764331,845491,1609822,764331,845491,1609822,767057,848007,1615064,767057,848007,1615064,767593,848393,1615986,767593,848393,1615986,767898,848890,1616788,767898,848890,1616788,767629,847989,1615618,740458,826881,1567339,740293,824834,1565127,740293,824834,1565127,756328,835611,1591939,756328,835611,1591939,752645,830618,1583263,752645,830618,1583263
Lombardia                          ,4624741,4850461,9475202,4660352,4885089,9545441,4660352,4885089,9545441,4711487,4930919,9642406,4711487,4930919,9642406,4762370,4980306,9742676,4762370,4980306,9742676,4802363,5023778,9826141,4802363,5023778,9826141,4844524,5073190,9917714,4844524,5073190,9917714,4875212,5101256,9976468,4711292,4989589,9700881,4764897,5029628,9794525,4764897,5029628,9794525,4866278,5107119,9973397,4866278,5107119,9973397,4881615,5121000,10002615,4881615,5121000,10002615
Trentino Alto Adige                ,484308,500820,985128,489342,505361,994703,489342,505361,994703,495443,511824,1007267,495443,511824,1007267,500811,517846,1018657,500811,517846,1018657,505165,523095,1028260,505165,523095,1028260,509415,527699,1037114,509415,527699,1037114,512515,530954,1043469,504239,525346,1029585,509750,530184,1039934,509750,530184,1039934,516313,535638,1051951,516313,535638,1051951,518348,537586,1055934,518348,537586,1055934
Veneto                             ,2321157,2417156,4738313,2338057,2435497,4773554,2338057,2435497,4773554,2367445,2464895,4832340,2367445,2464895,4832340,2392663,2492885,4885548,2392663,2492885,4885548,2404721,2507717,4912438,2404721,2507717,4912438,2413890,2523964,4937854,2413890,2523964,4937854,2420987,2532523,4953510,2362989,2490668,4853657,2377937,2503819,4881756,2377937,2503819,4881756,2402035,2524783,4926818,2402035,2524783,4926818,2402358,2525238,4927596,2402358,2525238,4927596
Friuli Venezia Giulia              ,584399,623879,1208278,586544,626058,1212602,586544,626058,1212602,591597,630464,1222061,591597,630464,1222061,596265,634671,1230936,596265,634671,1230936,597575,636504,1234079,597575,636504,1234079,598109,637699,1235808,598109,637699,1235808,598274,637759,1236033,587449,630331,1217780,589803,632057,1221860,589803,632057,1221860,594690,634673,1229363,594690,634673,1229363,594007,633115,1227122,594007,633115,1227122
Emilia Romagna                     ,2036657,2150900,4187557,2054906,2168358,4223264,2054906,2168358,4223264,2079937,2195865,4275802,2079937,2195865,4275802,2109482,2228497,4337979,2109482,2228497,4337979,2126966,2250469,4377435,2135932,2259637,4395569,2151133,2281285,4432418,2151133,2281285,4432418,2161402,2292137,4453539,2094766,2246474,4341240,2114962,2262525,4377487,2114962,2262525,4377487,2153611,2292743,4446354,2153611,2292743,4446354,2155222,2295286,4450508,2155222,2295286,4450508
Marche                             ,744458,784351,1528809,748066,788032,1536098,748066,788032,1536098,755792,797271,1553063,755792,797271,1553063,763741,805837,1569578,763741,805837,1569578,766662,811014,1577676,757696,801846,1559542,759397,805938,1565335,759397,805938,1565335,760261,807355,1567616,745469,795219,1540688,747635,797520,1545155,747635,797520,1545155,752044,801094,1553138,752044,801094,1553138,750875,799921,1550796,750875,799921,1550796
Toscana                            ,1747130,1872742,3619872,1756090,1882121,3638211,1756090,1882121,3638211,1773468,1903580,3677048,1773468,1903580,3677048,1787668,1920150,3707818,1787668,1920150,3707818,1797235,1932895,3730130,1797235,1932895,3730130,1805132,1944681,3749813,1805132,1944681,3749813,1809803,1949951,3759754,1759289,1908491,3667780,1772317,1920511,3692828,1772317,1920511,3692828,1803125,1947386,3750511,1803125,1947386,3750511,1804558,1948096,3752654,1804558,1948096,3752654
Umbria                             ,419662,448216,867878,422205,450762,872967,422205,450762,872967,427042,457408,884450,427042,457408,884450,431313,462909,894222,431313,462909,894222,434058,466732,900790,434058,466732,900790,436259,470227,906486,436259,470227,906486,437065,471337,908402,423559,459656,883215,424966,461273,886239,424966,461273,886239,430099,466643,896742,430099,466643,896742,429187,465575,894762,429187,465575,894762
Lazio                              ,2541915,2762863,5304778,2640275,2853033,5493308,2640275,2853033,5493308,2672426,2888591,5561017,2672426,2888591,5561017,2703994,2922716,5626710,2703994,2922716,5626710,2731425,2950443,5681868,2731425,2950443,5681868,2754318,2974370,5728688,2754318,2974370,5728688,2773586,2992102,5765688,2635689,2864333,5500022,2666925,2890351,5557276,2666925,2890351,5557276,2829247,3041204,5870451,2829247,3041204,5870451,2841686,3050739,5892425,2841686,3050739,5892425
Campania                           ,2814807,2976122,5790929,2812635,2977552,5790187,2812635,2977552,5790187,2820477,2990913,5811390,2820477,2990913,5811390,2820078,2992884,5812962,2820078,2992884,5812962,2824935,2999727,5824662,2824935,2999727,5824662,2829162,3004894,5834056,2829162,3004894,5834056,2829829,3006488,5836317,2794720,2969704,5764424,2796949,2972801,5769750,2796949,2972801,5769750,2850178,3019787,5869965,2850178,3019787,5869965,2848043,3013486,5861529,2848043,3013486,5861529
Abruzzo                            ,634724,670583,1305307,637046,672751,1309797,637046,672751,1309797,643756,680231,1323987,643756,680231,1323987,648680,685995,1334675,648680,685995,1334675,650752,688146,1338898,650752,688146,1338898,652286,690080,1342366,652286,690080,1342366,653524,691005,1344529,633941,672475,1306416,637389,675118,1312507,637389,675118,1312507,648710,685229,1333939,648710,685229,1333939,647812,683762,1331574,647812,683762,1331574
Molise                             ,156387,164520,320907,155922,164152,320074,155922,164152,320074,156183,164655,320838,156183,164655,320838,156036,164759,320795,156036,164759,320795,155835,164394,320229,155835,164394,320229,155675,164105,319780,155675,164105,319780,155581,163952,319533,152547,160598,313145,152865,160476,313341,152865,160476,313341,153763,160962,314725,153763,160962,314725,153259,160089,313348,153259,160089,313348
Puglia                             ,1977338,2094180,4071518,1976125,2093744,4069869,1976125,2093744,4069869,1978216,2098330,4076546,1978216,2098330,4076546,1979254,2100448,4079702,1979254,2100448,4079702,1980902,2103133,4084035,1980902,2103133,4084035,1984310,2106949,4091259,1984310,2106949,4091259,1983603,2106644,4090247,1962375,2087697,4050072,1963041,2087762,4050803,1963041,2087762,4050803,1983757,2106509,4090266,1983757,2106509,4090266,1984227,2105878,4090105,1984227,2105878,4090105
Basilicata                         ,291651,302435,594086,290162,301176,591338,290162,301176,591338,289656,301345,591001,289656,301345,591001,289275,301326,590601,289275,301326,590601,288274,300605,588879,288274,300605,588879,287618,299899,587517,287618,299899,587517,287239,299482,586721,282546,295016,577562,282106,294088,576194,282106,294088,576194,283265,295126,578391,283265,295126,578391,282525,294094,576619,282525,294094,576619
Calabria                           ,978457,1025958,2004415,974680,1023372,1998052,974680,1023372,1998052,978731,1028976,2007707,978731,1028976,2007707,978789,1029920,2008709,978789,1029920,2008709,979003,1030327,2009330,979003,1030327,2009330,980112,1031283,2011395,980112,1031283,2011395,980459,1030455,2010914,953767,1004651,1958418,954259,1003979,1958238,954259,1003979,1958238,966217,1014316,1980533,966217,1014316,1980533,964960,1011671,1976631,964960,1011671,1976631
Sicilia                            ,2425633,2591579,5017212,2425178,2591683,5016861,2425178,2591683,5016861,2430272,2599411,5029683,2430272,2599411,5029683,2433605,2604194,5037799,2433605,2604194,5037799,2436495,2606497,5042992,2436495,2606497,5042992,2441599,2609476,5051075,2441599,2609476,5051075,2441553,2608127,5049680,2417426,2582428,4999854,2418687,2581245,4999932,2418687,2581245,4999932,2470628,2624309,5094937,2470628,2624309,5094937,2472370,2619710,5092080,2472370,2619710,5092080
Sardegna                           ,812822,842855,1655677,814695,844748,1659443,814695,844748,1659443,817323,848294,1665617,817323,848294,1665617,819518,851483,1671001,819518,851483,1671001,819875,852529,1672404,819875,852529,1672404,821189,854222,1675411,821189,854222,1675411,820940,854323,1675263,800451,837395,1637846,801849,838530,1640379,801849,838530,1640379,814953,848906,1663859,814953,848906,1663859,815035,848251,1663286,815035,848251,1663286
,,,,,,,,,,,,,,,,,,,,,,,,,8966,9168,18134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-8966,-9168,-18134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
