Regione,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 Dicembre - Maschi,Popolazione al 31 Dicembre - Femmine,Popolazione al 31 Dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2154826,2291404,4446230,19799,18586,38385,23502,25283,48785,-3703,-6697,-10400,63001,65200,128201,15031,18649,33680,2308,1083,3391,61571,63444,125015,3161,2859,6020,8286,4446,12732,7322,14183,21505,2146593,2277316,4423909,11852,21574,33426,0,0,0,2158445,2298890,4457335,2009958,3207,2.2
Valle D'Aosta,62743,65123,127866,619,635,1254,639,644,1283,-20,-9,-29,2505,2493,4998,337,425,762,35,24,59,2515,2452,4967,89,92,181,193,85,278,80,313,393,62385,64983,127368,418,444,862,0,0,0,62803,65427,128230,60590,94,2.1
Liguria,767593,848393,1615986,6081,5902,11983,10046,11428,21474,-3965,-5526,-9491,19885,20114,39999,6346,7837,14183,633,319,952,18463,19506,37969,1098,1010,2108,3033,1731,4764,4270,6023,10293,764223,841655,1605878,3675,7235,10910,0,0,0,767898,848890,1616788,789720,948,2.03
Lombardia,4802363,5023778,9826141,50552,47263,97815,42776,47389,90165,7776,-126,7650,145710,141549,287259,46128,55193,101321,5969,2892,8861,136736,133639,270375,9187,7699,16886,17499,8758,26257,34385,49538,83923,4828917,5037767,9866684,15607,35423,51030,0,0,0,4844524,5073190,9917714,4306626,3974,2.29
Trentino Alto Adige,505165,523095,1028260,5594,5241,10835,4150,4474,8624,1444,767,2211,12605,13091,25696,3394,4308,7702,452,218,670,11216,11990,23206,1268,1170,2438,1161,620,1781,2806,3837,6643,504769,522324,1027093,4646,5375,10021,0,0,0,509415,527699,1037114,431190,800,2.38
Veneto,2404721,2507717,4912438,24170,22755,46925,21588,23356,44944,2582,-601,1981,61682,64682,126364,17718,24333,42051,3374,1852,5226,60843,63681,124524,5187,4528,9715,10157,5810,15967,6587,16848,23435,2402289,2497931,4900220,11601,26033,37634,0,0,0,2413890,2523964,4937854,2029502,2375,2.41
Friuli Venezia Giulia,597575,636504,1234079,5286,5051,10337,6585,7498,14083,-1299,-2447,-3746,16367,16612,32979,3988,4758,8746,496,287,783,15461,15641,31102,1530,1260,2790,2027,1114,3141,1833,3642,5475,594019,631594,1225613,4090,6105,10195,0,0,0,598109,637699,1235808,558786,659,2.19
Emilia Romagna,2135932,2259637,4395569,21545,20272,41817,22753,24669,47422,-1208,-4397,-5605,59571,60847,120418,21453,27456,48909,3450,1864,5314,55701,56280,111981,3383,3084,6467,8981,4758,13739,16409,26045,42454,2141217,2265645,4406862,9916,15640,25556,0,0,0,2151133,2281285,4432418,1970840,2335,2.24
Marche,757696,801846,1559542,7279,6806,14085,7950,8272,16222,-671,-1466,-2137,16268,16922,33190,5309,7823,13132,660,431,1091,16282,16876,33158,1287,1257,2544,2296,1485,3781,2372,5558,7930,757255,801798,1559053,2142,4140,6282,0,0,0,759397,805938,1565335,637079,772,2.45
Toscana,1797235,1932895,3730130,16809,15827,32636,19872,21649,41521,-3063,-5822,-8885,44160,45467,89627,14805,19886,34691,2336,1434,3770,41285,42503,83788,2356,2371,4727,6700,4305,11005,10960,17608,28568,1798205,1934304,3732509,6927,10377,17304,0,0,0,1805132,1944681,3749813,1617973,1822,2.31
Umbria,434058,466732,900790,4111,3822,7933,4897,5052,9949,-786,-1230,-2016,8693,9202,17895,3509,5125,8634,297,220,517,7974,8493,16467,660,647,1307,878,682,1560,2987,4725,7712,434125,467433,901558,2134,2794,4928,0,0,0,436259,470227,906486,378877,594,2.38
Lazio,2731425,2950443,5681868,27844,26433,54277,26478,27278,53756,1366,-845,521,55920,57542,113462,26368,27084,53452,1164,817,1981,53294,53987,107281,3548,3170,6718,5083,3514,8597,21527,24772,46299,2733563,2946505,5680068,20755,27865,48620,0,0,0,2754318,2974370,5728688,2352300,3955,2.41
Campania,2824935,2999727,5824662,30099,28113,58212,25114,25353,50467,4985,2760,7745,60554,59396,119950,11350,13787,25137,1236,759,1995,70025,68279,138304,1524,1321,2845,2349,1935,4284,-758,2407,1649,2824360,2996047,5820407,4802,8847,13649,0,0,0,2829162,3004894,5834056,2107152,1722,2.76
Abruzzo,650752,688146,1338898,6061,5676,11737,7125,7107,14232,-1064,-1431,-2495,13029,13556,26585,3744,4776,8520,353,254,607,12272,13467,25739,981,816,1797,1275,938,2213,2598,3365,5963,650406,687985,1338391,1880,2095,3975,0,0,0,652286,690080,1342366,543659,1426,2.46
Molise,155835,164394,320229,1308,1203,2511,1734,1735,3469,-426,-532,-958,2547,2503,5050,593,782,1375,26,30,56,2606,2794,5400,162,154,316,132,124,256,266,243,509,155114,163513,318627,561,592,1153,0,0,0,155675,164105,319780,129410,163,2.46
Puglia,1980902,2103133,4084035,19082,18086,37168,17292,17493,34785,1790,593,2383,24714,24362,49076,6905,8497,15402,1314,824,2138,28316,28191,56507,1577,1340,2917,1422,929,2351,1618,3223,4841,1979085,2100532,4079617,5225,6417,11642,0,0,0,1984310,2106949,4091259,1534783,1316,2.66
Basilicata,288274,300605,588879,2357,2255,4612,2898,2758,5656,-541,-503,-1044,2906,2949,5855,1055,1205,2260,78,36,114,3733,3998,7731,294,278,572,127,117,244,-115,-203,-318,286746,299033,585779,872,866,1738,0,0,0,287618,299899,587517,230607,278,2.54
Calabria,979003,1030327,2009330,9033,8768,17801,9336,8807,18143,-303,-39,-342,14858,14939,29797,5995,5786,11781,294,195,489,17556,18264,35820,1296,961,2257,883,700,1583,1412,995,2407,978031,1028136,2006167,2081,3147,5228,0,0,0,980112,1031283,2011395,782183,1011,2.56
Sicilia,2436495,2606497,5042992,24539,23544,48083,23727,24248,47975,812,-704,108,43848,42775,86623,11072,10101,21173,929,457,1386,46274,46252,92526,2637,2044,4681,2646,1354,4000,4292,3683,7975,2434158,2600471,5034629,7441,9005,16446,0,0,0,2441599,2609476,5051075,2013314,2602,2.5
Sardegna,819875,852529,1672404,7017,6521,13538,7632,6901,14533,-615,-380,-995,15471,15868,31339,2620,3325,5945,426,214,640,15249,16305,31554,812,673,1485,527,356,883,1929,2073,4002,818751,850762,1669513,2438,3460,5898,0,0,0,821189,854222,1675411,691244,879,2.42
