Regione,Popolazione al 1° Gennaio - Maschi,Popolazione al 1° Gennaio - Femmine,Popolazione al 1° Gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 8 ottobre - Maschi,Popolazione al 8 ottobre - Femmine,Popolazione al 8 ottobre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2158445,2298890,4457335,15172,13907,29079,18259,19312,37571,-3087,-5405,-8492,49683,49922,99605,10140,11743,21883,1955,931,2886,48173,49061,97234,2454,2229,4683,4824,2587,7411,6327,8719,15046,2149823,2281043,4430866,11862,21161,33023,0,0,0,2161685,2302204,4463889,2015284,2808,2.2
Valle D'Aosta,62803,65427,128230,489,460,949,492,505,997,-3,-45,-48,1733,1715,3448,222,312,534,63,23,86,1717,1622,3339,81,77,158,115,75,190,105,276,381,62478,65207,127685,427,451,878,0,0,0,62905,65658,128563,60510,94,2.11
Liguria,767898,848890,1616788,4556,4287,8843,7652,8791,16443,-3096,-4504,-7600,14581,14835,29416,4379,4556,8935,947,483,1430,13494,13941,27435,929,820,1749,2657,1510,4167,2827,3603,6430,763817,840711,1604528,3812,7278,11090,0,0,0,767629,847989,1615618,790993,956,2.03
Lombardia,4844524,5073190,9917714,37511,35165,72676,32133,35827,67960,5378,-662,4716,113120,109354,222474,33417,34067,67484,4775,2284,7059,106770,104593,211363,6809,5870,12679,12423,6514,18937,25310,28728,54038,4859049,5065008,9924057,16163,36248,52411,0,0,0,4875212,5101256,9976468,4354894,3462,2.28
Trentino Alto Adige,509415,527699,1037114,4114,4038,8152,3144,3308,6452,970,730,1700,10079,10416,20495,2537,2897,5434,375,158,533,9028,9512,18540,977,961,1938,856,473,1329,2130,2525,4655,507732,525525,1033257,4783,5429,10212,0,0,0,512515,530954,1043469,435000,778,2.38
Veneto,2413890,2523964,4937854,18058,17121,35179,16393,18062,34455,1665,-941,724,49224,51116,100340,12485,14765,27250,2899,1604,4503,47907,50151,98058,3750,3333,7083,7519,4501,12020,5432,9500,14932,2409491,2506561,4916052,11496,25962,37458,0,0,0,2420987,2532523,4953510,2043716,2372,2.41
Friuli Venezia Giulia,598109,637699,1235808,4099,3718,7817,5032,5770,10802,-933,-2052,-2985,12242,12498,24740,2499,2935,5434,431,229,660,11535,11843,23378,1172,994,2166,1367,713,2080,1098,2112,3210,594282,631570,1225852,3992,6189,10181,0,0,0,598274,637759,1236033,560636,635,2.19
Emilia Romagna,2151133,2281285,4432418,15937,15182,31119,17313,19164,36477,-1376,-3982,-5358,47356,47324,94680,13855,15352,29207,2895,1486,4381,43193,43209,86402,2625,2385,5010,6643,3734,10377,11645,14834,26479,2151269,2276430,4427699,10133,15707,25840,0,0,0,2161402,2292137,4453539,1985804,2324,2.23
Marche,759397,805938,1565335,5398,5240,10638,6155,6490,12645,-757,-1250,-2007,12487,12954,25441,3457,4368,7825,579,359,938,12037,12792,24829,984,1010,1994,1881,1212,3093,1621,2667,4288,758135,803248,1561383,2126,4107,6233,0,0,0,760261,807355,1567616,639537,725,2.44
Toscana,1805132,1944681,3749813,12419,11725,24144,15202,16631,31833,-2783,-4906,-7689,34986,35946,70932,9861,11903,21764,2297,1461,3758,32494,33736,66230,1832,1842,3674,5364,3556,8920,7454,10176,17630,1802796,1939645,3742441,7007,10306,17313,0,0,0,1809803,1949951,3759754,1629474,1844,2.3
