Regione,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2131892,2272354,4404246,16241,15491,31732,24292,26692,50984,-8051,-11201,-19252,61892,62649,124541,14242,10033,24275,4861,2857,7718,60455,61700,122155,6262,5917,12179,8716,5952,14668,5562,1970,7532,2111715,2241757,4353472,17688,21366,39054,0,0,0,2129403,2263123,4392526,2011175,3097,2.16
Valle D'Aosta,62110,65219,127329,501,461,962,680,705,1385,-179,-244,-423,2211,2284,4495,373,251,624,139,97,236,2211,2298,4509,183,205,388,284,197,481,45,-68,-23,61376,64474,125850,600,433,1033,0,0,0,61976,64907,126883,61030,123,2.06
Liguria,747508,823545,1571053,5162,4739,9901,9727,11126,20853,-4565,-6387,-10952,17939,18522,36461,5767,3889,9656,3012,1868,4880,17035,17719,34754,2001,1815,3816,4273,2948,7221,3409,1797,5206,740625,811797,1552422,5727,7158,12885,0,0,0,746352,818955,1565307,773209,1029,2.01
Lombardia,4886543,5121806,10008349,41726,39862,81588,45009,49292,94301,-3283,-9430,-12713,145377,142219,287596,29051,25930,54981,12213,7158,19371,139504,135887,275391,16863,14708,31571,19171,12285,31456,11103,12427,23530,4871992,5089118,9961110,22371,35685,58056,0,0,0,4894363,5124803,10019166,4439434,3607,2.24
Trentino Alto Adige,520218,538896,1059114,5137,4952,10089,4432,4776,9208,705,176,881,13613,14070,27683,3293,2985,6278,838,466,1304,12463,13150,25613,2152,2210,4362,1454,971,2425,1675,1190,2865,516601,534490,1051091,5997,5772,11769,0,0,0,522598,540262,1062860,453063,768,2.32
Veneto,2396522,2518601,4915123,19544,18323,37867,22675,25181,47856,-3131,-6858,-9989,60701,64138,124839,12568,12155,24723,5683,3591,9274,59635,63603,123238,8056,7743,15799,10085,7319,17404,1176,1219,2395,2381778,2489387,4871165,12789,23575,36364,0,0,0,2394567,2512962,4907529,2069049,2307,2.35
Friuli Venezia Giulia,591324,629894,1221218,4368,4108,8476,6639,7452,14091,-2271,-3344,-5615,15446,16059,31505,3278,3110,6388,898,629,1527,14783,14902,29685,2293,2098,4391,1848,1227,3075,698,1571,2269,586321,622459,1208780,3430,5662,9092,0,0,0,589751,628121,1217872,561115,547,2.15
Emilia Romagna,2155406,2292740,4448146,17726,16852,34578,23188,26189,49377,-5462,-9337,-14799,57208,57801,115009,14026,13435,27461,6260,3804,10064,52781,53363,106144,6387,6044,12431,10984,7481,18465,7342,8152,15494,2143603,2275880,4419483,13683,15675,29358,0,0,0,2157286,2291555,4448841,1997372,2826,2.21
Marche,747637,796115,1543752,5940,5542,11482,8342,8980,17322,-2402,-3438,-5840,14936,15450,30386,4092,3585,7677,1265,956,2221,15229,15896,31125,2458,2304,4762,2355,1899,4254,251,-108,143,742126,788617,1530743,3360,3952,7312,0,0,0,745486,792569,1538055,645813,792,2.37
Toscana,1801468,1942930,3744398,13746,13170,26916,19963,22514,42477,-6217,-9344,-15561,43967,45881,89848,13642,10694,24336,5549,4019,9568,41671,43261,84932,4602,4606,9208,9252,6760,16012,7633,5967,13600,1792636,1929662,3722298,10248,9891,20139,0,0,0,1802884,1939553,3742437,1649770,2061,2.26
Umbria,427662,463519,891181,3290,3063,6353,4813,5439,10252,-1523,-2376,-3899,7689,8399,16088,2135,2122,4257,664,532,1196,7708,8446,16154,1197,1167,2364,763,634,1397,820,806,1626,424640,459455,884095,2319,2494,4813,0,0,0,426959,461949,888908,385072,502,2.3
Lazio,2838616,3049856,5888472,24449,23146,47595,27277,29561,56838,-2828,-6415,-9243,54097,54664,108761,19408,14540,33948,8273,4801,13074,52787,52955,105742,7709,6457,14166,10194,6786,16980,11088,7807,18895,2828953,3030441,5859394,17923,20807,38730,0,0,0,2846876,3051248,5898124,2646277,3482,2.21
Campania,2846720,3004130,5850850,25909,24475,50384,26083,26961,53044,-174,-2486,-2660,57705,55396,113101,12472,7422,19894,4059,2791,6850,67286,64486,131772,4998,3825,8823,5259,3097,8356,-3307,-5799,-9106,2834548,2987725,5822273,8691,8120,16811,0,0,0,2843239,2995845,5839084,2172470,1873,2.68
Abruzzo,645452,681061,1326513,5189,4885,10074,7082,7464,14546,-1893,-2579,-4472,13115,13718,26833,3553,3215,6768,1205,905,2110,13723,14511,28234,1995,1673,3668,2016,1587,3603,139,67,206,641188,676576,1317764,2510,1973,4483,0,0,0,643698,678549,1322247,556444,505,2.37
Molise,153149,158878,312027,1058,1030,2088,1755,1824,3579,-697,-794,-1491,2502,2456,4958,1699,554,2253,141,97,238,3079,2991,6070,442,360,802,496,168,664,325,-412,-87,151086,157105,308191,1691,567,2258,0,0,0,152777,157672,310449,131109,219,2.35
Puglia,1979253,2097913,4077166,16009,15123,31132,18365,19181,37546,-2356,-4058,-6414,23979,23363,47342,7434,4757,12191,2489,1440,3929,28956,28421,57377,4235,3399,7634,3451,1864,5315,-2740,-4124,-6864,1967974,2084360,4052334,6183,5371,11554,0,0,0,1974157,2089731,4063888,1594171,1283,2.54
Basilicata,281443,292251,573694,2055,1962,4017,3011,3192,6203,-956,-1230,-2186,3188,2924,6112,1542,872,2414,188,114,302,4266,4131,8397,611,441,1052,352,170,522,-311,-832,-1143,278526,289445,567971,1650,744,2394,0,0,0,280176,290189,570365,236053,261,2.41
Calabria,963429,1007092,1970521,8254,7782,16036,9639,9628,19267,-1385,-1846,-3231,14584,13851,28435,6733,3781,10514,984,608,1592,17807,17837,35644,2498,1967,4465,1702,892,2594,294,-2456,-2162,956787,1000278,1957065,5551,2512,8063,0,0,0,962338,1002790,1965128,805221,898,2.43
Sicilia,2466730,2607531,5074261,21312,20329,41641,24565,25424,49989,-3253,-5095,-8348,38990,38398,77388,10315,6346,16661,5412,3497,8909,46080,45381,91461,6514,5300,11814,6152,2803,8955,-4029,-5243,-9272,2443609,2588373,5031982,15839,8820,24659,0,0,0,2459448,2597193,5056641,2025882,3348,2.48
Sardegna,813239,844899,1658138,5464,5063,10527,8238,7905,16143,-2774,-2842,-5616,14142,14865,29007,3468,2056,5524,1008,516,1524,14952,15709,30661,1790,1580,3370,934,477,1411,942,-329,613,807447,838412,1645859,3960,3316,7276,0,0,0,811407,841728,1653135,723994,846,2.27
