Regione,Popolazione al 9 ottobre - Maschi,Popolazione al 9 ottobre - Femmine,Popolazione al 9 ottobre - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
Piemonte,2104988,2258928,4363916,4463,4217,8680,5471,6019,11490,-1008,-1802,-2810,14548,15272,29820,3009,3536,6545,1245,1051,2296,14487,15212,29699,838,707,1545,5605,5255,10860,-2128,-1315,-3443,2090061,2234434,4324495,11791,21377,33168,0,0,0,2101852,2255811,4357663,2016818,2689,2.14
Valle D'Aosta,61861,64945,126806,145,127,272,150,141,291,-5,-14,-19,619,612,1231,78,94,172,46,44,90,616,598,1214,42,35,77,166,203,369,-81,-86,-167,61344,64398,125742,431,447,878,0,0,0,61775,64845,126620,60631,95,2.07
Liguria,741972,828722,1570694,1360,1275,2635,2360,2685,5045,-1000,-1410,-2410,4276,4554,8830,1190,1291,2481,545,351,896,4219,4538,8757,317,294,611,1989,1795,3784,-514,-431,-945,736683,819556,1556239,3775,7325,11100,0,0,0,740458,826881,1567339,790867,941,1.97
Lombardia,4712503,4991648,9704151,10997,10406,21403,9950,11158,21108,1047,-752,295,33617,33877,67494,9454,9063,18517,2816,2102,4918,32188,32442,64630,2563,2098,4661,13394,11809,25203,-2258,-1307,-3565,4695166,4952780,9647946,16126,36809,52935,0,0,0,4711292,4989589,9700881,4364713,3348,2.21
Trentino Alto Adige,504053,525422,1029475,1254,1159,2413,918,1118,2036,336,41,377,3137,3379,6516,736,857,1593,233,238,471,2873,3065,5938,398,416,814,985,1110,2095,-150,-117,-267,499400,519896,1019296,4839,5450,10289,0,0,0,504239,525346,1029585,437265,721,2.33
Veneto,2364682,2492528,4857210,5162,5052,10214,5109,5664,10773,53,-612,-559,14725,15481,30206,3329,3914,7243,1360,1082,2442,14659,15503,30162,1260,1185,2445,5241,5037,10278,-1746,-1248,-2994,2351527,2464856,4816383,11462,25812,37274,0,0,0,2362989,2490668,4853657,2047180,2377,2.35
Friuli Venezia Giulia,588025,630960,1218985,1107,1017,2124,1551,1713,3264,-444,-696,-1140,3710,3905,7615,668,925,1593,318,290,608,3558,3644,7202,379,356,735,891,1053,1944,-132,67,-65,583476,624145,1207621,3973,6186,10159,0,0,0,587449,630331,1217780,561423,633,2.15
Emilia Romagna,2095163,2246972,4342135,4760,4569,9329,5251,5925,11176,-491,-1356,-1847,14536,15148,29684,3681,4091,7772,1121,812,1933,13411,13917,27328,921,852,1773,4912,4424,9336,94,858,952,2084676,2230724,4315400,10090,15750,25840,0,0,0,2094766,2246474,4341240,1989874,2319,2.17
Marche,745944,795375,1541319,1640,1578,3218,1920,1847,3767,-280,-269,-549,4101,4204,8305,1057,1466,2523,371,327,698,3971,4160,8131,338,327,665,1415,1397,2812,-195,113,-82,743291,791079,1534370,2178,4140,6318,0,0,0,745469,795219,1540688,640929,723,2.39
Toscana,1761444,1910758,3672202,3789,3641,7430,4661,5199,9860,-872,-1558,-2430,10536,10981,21517,2769,3380,6149,845,651,1496,10315,10722,21037,714,743,1457,4404,4256,8660,-1283,-709,-1992,1752307,1898105,3650412,6982,10386,17368,0,0,0,1759289,1908491,3667780,1630303,1836,2.24
Umbria,424057,460211,884268,908,877,1785,1147,1231,2378,-239,-354,-593,2036,2153,4189,576,770,1346,135,133,268,1966,2153,4119,156,178,334,884,926,1810,-259,-201,-460,421358,456946,878304,2201,2710,4911,0,0,0,423559,459656,883215,382944,540,2.29
Lazio,2637150,2865736,5502886,6925,6553,13478,6300,6518,12818,625,35,660,13352,13908,27260,5976,5673,11649,1156,840,1996,13494,14022,27516,877,701,1578,8199,7136,15335,-2086,-1438,-3524,2615714,2837771,5453485,19975,26562,46537,0,0,0,2635689,2864333,5500022,2379792,3466,2.29
Campania,2795782,2971028,5766810,6761,6323,13084,6039,6112,12151,722,211,933,14455,14438,28893,2432,2445,4877,1716,1371,3087,17872,17367,35239,534,413,947,1981,2009,3990,-1784,-1535,-3319,2789659,2960835,5750494,5061,8869,13930,0,0,0,2794720,2969704,5764424,2129558,1747,2.7
Abruzzo,634397,672912,1307309,1341,1278,2619,1685,1630,3315,-344,-352,-696,3305,3567,6872,752,900,1652,361,368,729,3269,3642,6911,206,173,379,1055,1105,2160,-112,-85,-197,631812,670183,1301995,2129,2292,4421,0,0,0,633941,672475,1306416,548543,483,2.37
Molise,152794,160866,313660,266,268,534,431,430,861,-165,-162,-327,689,669,1358,112,150,262,107,133,240,728,852,1580,60,61,121,202,145,347,-82,-106,-188,152102,160121,312223,445,477,922,0,0,0,152547,160598,313145,130387,158,2.39
Puglia,1963743,2088823,4052566,4287,4055,8342,4117,4159,8276,170,-104,66,6008,6166,12174,1241,1453,2694,727,751,1478,7578,7706,15284,455,379,834,1481,1307,2788,-1538,-1022,-2560,1958426,2081548,4039974,3949,6149,10098,0,0,0,1962375,2087697,4050072,1555905,1191,2.6
Basilicata,282779,295257,578036,508,475,983,661,632,1293,-153,-157,-310,947,944,1891,229,269,498,122,139,261,1146,1214,2360,62,55,117,170,167,337,-80,-84,-164,281629,294081,575710,917,935,1852,0,0,0,282546,295016,577562,231603,256,2.49
Calabria,954172,1004878,1959050,2046,2039,4085,2216,2106,4322,-170,-67,-237,3641,3801,7442,1139,1071,2210,662,674,1336,4741,4908,9649,218,168,386,718,630,1348,-235,-160,-395,951645,1001536,1953181,2122,3115,5237,0,0,0,953767,1004651,1958418,789121,910,2.48
Sicilia,2418757,2584147,5002904,5731,5427,11158,5654,5682,11336,77,-255,-178,9825,9978,19803,2085,1888,3973,1028,936,1964,11377,11898,23275,727,542,1269,2242,1826,4068,-1408,-1464,-2872,2410149,2573494,4983643,7277,8934,16211,0,0,0,2417426,2582428,4999854,2017675,2533,2.47
Sardegna,801241,838121,1639362,1621,1582,3203,1780,1669,3449,-159,-87,-246,3688,3929,7617,473,647,1120,429,408,837,4005,4363,8368,255,191,446,961,1069,2030,-631,-639,-1270,798050,833962,1632012,2401,3433,5834,0,0,0,800451,837395,1637846,700132,851,2.33
