Anno,Codice territoriale,Entita.territoriale,Denominazione territoriale,Sesso,Classi.di.eta,Decessi,Tasso di mortalità (per mille abitanti)
2015,226,Ripartizione,Italia,Maschi,0-4,916,0.7
2015,226,Ripartizione,Italia,Femmine,0-4,762,0.6
2015,226,Ripartizione,Italia,Maschi e femmine,0-4,1678,0.6
2015,226,Ripartizione,Italia,Maschi,9-May,106,0.1
2015,226,Ripartizione,Italia,Femmine,9-May,75,0.1
2015,226,Ripartizione,Italia,Maschi e femmine,9-May,181,0.1
2015,226,Ripartizione,Italia,Maschi,14-Oct,152,0.1
2015,226,Ripartizione,Italia,Femmine,14-Oct,80,0.1
2015,226,Ripartizione,Italia,Maschi e femmine,14-Oct,232,0.1
2015,226,Ripartizione,Italia,Maschi,15-19,472,0.3
2015,226,Ripartizione,Italia,Femmine,15-19,176,0.1
2015,226,Ripartizione,Italia,Maschi e femmine,15-19,648,0.2
2015,226,Ripartizione,Italia,Maschi,20-24,662,0.4
2015,226,Ripartizione,Italia,Femmine,20-24,239,0.2
2015,226,Ripartizione,Italia,Maschi e femmine,20-24,901,0.3
2015,226,Ripartizione,Italia,Maschi,25-29,741,0.4
2015,226,Ripartizione,Italia,Femmine,25-29,306,0.2
2015,226,Ripartizione,Italia,Maschi e femmine,25-29,1047,0.3
2015,226,Ripartizione,Italia,Maschi,30-34,1033,0.6
2015,226,Ripartizione,Italia,Femmine,30-34,419,0.2
2015,226,Ripartizione,Italia,Maschi e femmine,30-34,1452,0.4
2015,226,Ripartizione,Italia,Maschi,35-39,1520,0.7
2015,226,Ripartizione,Italia,Femmine,35-39,830,0.4
2015,226,Ripartizione,Italia,Maschi e femmine,35-39,2350,0.6
2015,226,Ripartizione,Italia,Maschi,40-44,2668,1.1
2015,226,Ripartizione,Italia,Femmine,40-44,1640,0.7
2015,226,Ripartizione,Italia,Maschi e femmine,40-44,4308,0.9
2015,226,Ripartizione,Italia,Maschi,45-49,4778,1.9
2015,226,Ripartizione,Italia,Femmine,45-49,2884,1.2
2015,226,Ripartizione,Italia,Maschi e femmine,45-49,7662,1.5
2015,226,Ripartizione,Italia,Maschi,50-54,7368,3.2
2015,226,Ripartizione,Italia,Femmine,50-54,4558,1.9
2015,226,Ripartizione,Italia,Maschi e femmine,50-54,11926,2.5
2015,226,Ripartizione,Italia,Maschi,55-59,10200,5.2
2015,226,Ripartizione,Italia,Femmine,55-59,6325,3
2015,226,Ripartizione,Italia,Maschi e femmine,55-59,16525,4.1
2015,226,Ripartizione,Italia,Maschi,60-64,15204,8.7
2015,226,Ripartizione,Italia,Femmine,60-64,8791,4.7
2015,226,Ripartizione,Italia,Maschi e femmine,60-64,23995,6.6
2015,226,Ripartizione,Italia,Maschi,65-69,23773,13.8
2015,226,Ripartizione,Italia,Femmine,65-69,13842,7.3
2015,226,Ripartizione,Italia,Maschi e femmine,65-69,37615,10.4
2015,226,Ripartizione,Italia,Maschi,70-74,30481,22.7
2015,226,Ripartizione,Italia,Femmine,70-74,19470,12.5
2015,226,Ripartizione,Italia,Maschi e femmine,70-74,49951,17.2
2015,226,Ripartizione,Italia,Maschi,75-79,46133,38.1
2015,226,Ripartizione,Italia,Femmine,75-79,34447,22.4
2015,226,Ripartizione,Italia,Maschi e femmine,75-79,80580,29.3
2015,226,Ripartizione,Italia,Maschi,80-84,58561,71.4
2015,226,Ripartizione,Italia,Femmine,80-84,57723,46.9
2015,226,Ripartizione,Italia,Maschi e femmine,80-84,116284,56.7
2015,226,Ripartizione,Italia,Maschi,85-89,58192,132.9
2015,226,Ripartizione,Italia,Femmine,85-89,80821,95.4
2015,226,Ripartizione,Italia,Maschi e femmine,85-89,139013,108.2
2015,226,Ripartizione,Italia,Maschi,90-94,35439,232.2
2015,226,Ripartizione,Italia,Femmine,90-94,74531,183.6
2015,226,Ripartizione,Italia,Maschi e femmine,90-94,109970,196.8
2015,226,Ripartizione,Italia,Maschi,95 e più,9565,387.4
2015,226,Ripartizione,Italia,Femmine,95 e più,31688,335.8
2015,226,Ripartizione,Italia,Maschi e femmine,95 e più,41253,346.5
2015,226,Ripartizione,Italia,Maschi,Totale,307964,10.4
2015,226,Ripartizione,Italia,Femmine,Totale,339607,10.9
2015,226,Ripartizione,Italia,Maschi e femmine,Totale,647571,10.7
2015,223,Ripartizione,Nord,Maschi,0-4,381,0.6
2015,223,Ripartizione,Nord,Femmine,0-4,310,0.5
2015,223,Ripartizione,Nord,Maschi e femmine,0-4,691,0.6
2015,223,Ripartizione,Nord,Maschi,9-May,43,0.1
2015,223,Ripartizione,Nord,Femmine,9-May,36,0.1
2015,223,Ripartizione,Nord,Maschi e femmine,9-May,79,0.1
2015,223,Ripartizione,Nord,Maschi,14-Oct,69,0.1
2015,223,Ripartizione,Nord,Femmine,14-Oct,34,0.1
2015,223,Ripartizione,Nord,Maschi e femmine,14-Oct,103,0.1
2015,223,Ripartizione,Nord,Maschi,15-19,177,0.3
2015,223,Ripartizione,Nord,Femmine,15-19,77,0.1
2015,223,Ripartizione,Nord,Maschi e femmine,15-19,254,0.2
2015,223,Ripartizione,Nord,Maschi,20-24,288,0.4
2015,223,Ripartizione,Nord,Femmine,20-24,104,0.2
2015,223,Ripartizione,Nord,Maschi e femmine,20-24,392,0.3
2015,223,Ripartizione,Nord,Maschi,25-29,304,0.4
2015,223,Ripartizione,Nord,Femmine,25-29,135,0.2
2015,223,Ripartizione,Nord,Maschi e femmine,25-29,439,0.3
2015,223,Ripartizione,Nord,Maschi,30-34,420,0.5
2015,223,Ripartizione,Nord,Femmine,30-34,179,0.2
2015,223,Ripartizione,Nord,Maschi e femmine,30-34,599,0.4
2015,223,Ripartizione,Nord,Maschi,35-39,619,0.7
2015,223,Ripartizione,Nord,Femmine,35-39,338,0.4
2015,223,Ripartizione,Nord,Maschi e femmine,35-39,957,0.5
2015,223,Ripartizione,Nord,Maschi,40-44,1137,1
2015,223,Ripartizione,Nord,Femmine,40-44,695,0.6
2015,223,Ripartizione,Nord,Maschi e femmine,40-44,1832,0.8
2015,223,Ripartizione,Nord,Maschi,45-49,2085,1.8
2015,223,Ripartizione,Nord,Femmine,45-49,1246,1.1
2015,223,Ripartizione,Nord,Maschi e femmine,45-49,3331,1.4
2015,223,Ripartizione,Nord,Maschi,50-54,3260,3
2015,223,Ripartizione,Nord,Femmine,50-54,1970,1.8
2015,223,Ripartizione,Nord,Maschi e femmine,50-54,5230,2.4
2015,223,Ripartizione,Nord,Maschi,55-59,4449,4.9
2015,223,Ripartizione,Nord,Femmine,55-59,2676,2.8
