Tipo di indicatore demografico,Sesso,Età,Territorio di origine,Seleziona periodo,Tipo di trasferimento,0
totali cancellati,maschi,fino a 17 anni,Piemonte,2015,in altre regioni,1770
totali cancellati,maschi,fino a 17 anni,Piemonte,2016,in altre regioni,1758
totali cancellati,maschi,65 anni e più,Piemonte,2015,in altre regioni,1033
totali cancellati,maschi,65 anni e più,Piemonte,2016,in altre regioni,1119
totali cancellati,maschi,18-39 anni,Piemonte,2015,in altre regioni,4811
totali cancellati,maschi,18-39 anni,Piemonte,2016,in altre regioni,4841
totali cancellati,maschi,40-64 anni,Piemonte,2015,in altre regioni,3232
totali cancellati,maschi,40-64 anni,Piemonte,2016,in altre regioni,3468
totali cancellati,femmine,fino a 17 anni,Piemonte,2015,in altre regioni,1586
totali cancellati,femmine,fino a 17 anni,Piemonte,2016,in altre regioni,1585
totali cancellati,femmine,65 anni e più,Piemonte,2015,in altre regioni,1345
totali cancellati,femmine,65 anni e più,Piemonte,2016,in altre regioni,1407
totali cancellati,femmine,18-39 anni,Piemonte,2015,in altre regioni,4935
totali cancellati,femmine,18-39 anni,Piemonte,2016,in altre regioni,4934
totali cancellati,femmine,40-64 anni,Piemonte,2015,in altre regioni,2896
totali cancellati,femmine,40-64 anni,Piemonte,2016,in altre regioni,3124
totali cancellati,maschi,fino a 17 anni,Piemonte,2015,estero,1230
totali cancellati,maschi,fino a 17 anni,Piemonte,2016,estero,1222
totali cancellati,maschi,65 anni e più,Piemonte,2015,estero,348
totali cancellati,maschi,65 anni e più,Piemonte,2016,estero,285
totali cancellati,maschi,18-39 anni,Piemonte,2015,estero,2836
totali cancellati,maschi,18-39 anni,Piemonte,2016,estero,2911
totali cancellati,maschi,40-64 anni,Piemonte,2015,estero,1812
totali cancellati,maschi,40-64 anni,Piemonte,2016,estero,1844
totali cancellati,femmine,fino a 17 anni,Piemonte,2015,estero,1192
totali cancellati,femmine,fino a 17 anni,Piemonte,2016,estero,1210
totali cancellati,femmine,65 anni e più,Piemonte,2015,estero,359
totali cancellati,femmine,65 anni e più,Piemonte,2016,estero,372
totali cancellati,femmine,18-39 anni,Piemonte,2015,estero,2524
totali cancellati,femmine,18-39 anni,Piemonte,2016,estero,2770
totali cancellati,femmine,40-64 anni,Piemonte,2015,estero,1593
totali cancellati,femmine,40-64 anni,Piemonte,2016,estero,1565
totali cancellati,maschi,fino a 17 anni,Valle d'Aosta / Vallée d'Aoste,2015,in altre regioni,92
totali cancellati,maschi,fino a 17 anni,Valle d'Aosta / Vallée d'Aoste,2016,in altre regioni,85
totali cancellati,maschi,65 anni e più,Valle d'Aosta / Vallée d'Aoste,2015,in altre regioni,58
totali cancellati,maschi,65 anni e più,Valle d'Aosta / Vallée d'Aoste,2016,in altre regioni,42
totali cancellati,maschi,18-39 anni,Valle d'Aosta / Vallée d'Aoste,2015,in altre regioni,266
totali cancellati,maschi,18-39 anni,Valle d'Aosta / Vallée d'Aoste,2016,in altre regioni,234
totali cancellati,maschi,40-64 anni,Valle d'Aosta / Vallée d'Aoste,2015,in altre regioni,166
totali cancellati,maschi,40-64 anni,Valle d'Aosta / Vallée d'Aoste,2016,in altre regioni,191
totali cancellati,femmine,fino a 17 anni,Valle d'Aosta / Vallée d'Aoste,2015,in altre regioni,105
totali cancellati,femmine,fino a 17 anni,Valle d'Aosta / Vallée d'Aoste,2016,in altre regioni,93
totali cancellati,femmine,65 anni e più,Valle d'Aosta / Vallée d'Aoste,2015,in altre regioni,63
totali cancellati,femmine,65 anni e più,Valle d'Aosta / Vallée d'Aoste,2016,in altre regioni,50
totali cancellati,femmine,18-39 anni,Valle d'Aosta / Vallée d'Aoste,2015,in altre regioni,235
totali cancellati,femmine,18-39 anni,Valle d'Aosta / Vallée d'Aoste,2016,in altre regioni,248
totali cancellati,femmine,40-64 anni,Valle d'Aosta / Vallée d'Aoste,2015,in altre regioni,183
totali cancellati,femmine,40-64 anni,Valle d'Aosta / Vallée d'Aoste,2016,in altre regioni,163
totali cancellati,maschi,fino a 17 anni,Valle d'Aosta / Vallée d'Aoste,2015,estero,39
totali cancellati,maschi,fino a 17 anni,Valle d'Aosta / Vallée d'Aoste,2016,estero,40
totali cancellati,maschi,65 anni e più,Valle d'Aosta / Vallée d'Aoste,2015,estero,10
totali cancellati,maschi,65 anni e più,Valle d'Aosta / Vallée d'Aoste,2016,estero,17
totali cancellati,maschi,18-39 anni,Valle d'Aosta / Vallée d'Aoste,2015,estero,65
totali cancellati,maschi,18-39 anni,Valle d'Aosta / Vallée d'Aoste,2016,estero,73
totali cancellati,maschi,40-64 anni,Valle d'Aosta / Vallée d'Aoste,2015,estero,63
totali cancellati,maschi,40-64 anni,Valle d'Aosta / Vallée d'Aoste,2016,estero,53
totali cancellati,femmine,fino a 17 anni,Valle d'Aosta / Vallée d'Aoste,2015,estero,41
totali cancellati,femmine,fino a 17 anni,Valle d'Aosta / Vallée d'Aoste,2016,estero,33
totali cancellati,femmine,65 anni e più,Valle d'Aosta / Vallée d'Aoste,2015,estero,15
totali cancellati,femmine,65 anni e più,Valle d'Aosta / Vallée d'Aoste,2016,estero,19
totali cancellati,femmine,18-39 anni,Valle d'Aosta / Vallée d'Aoste,2015,estero,79
totali cancellati,femmine,18-39 anni,Valle d'Aosta / Vallée d'Aoste,2016,estero,90
totali cancellati,femmine,40-64 anni,Valle d'Aosta / Vallée d'Aoste,2015,estero,71
totali cancellati,femmine,40-64 anni,Valle d'Aosta / Vallée d'Aoste,2016,estero,63
totali cancellati,maschi,fino a 17 anni,Liguria,2015,in altre regioni,746
totali cancellati,maschi,fino a 17 anni,Liguria,2016,in altre regioni,735
totali cancellati,maschi,65 anni e più,Liguria,2015,in altre regioni,737
totali cancellati,maschi,65 anni e più,Liguria,2016,in altre regioni,785
totali cancellati,maschi,18-39 anni,Liguria,2015,in altre regioni,2051
totali cancellati,maschi,18-39 anni,Liguria,2016,in altre regioni,2166
totali cancellati,maschi,40-64 anni,Liguria,2015,in altre regioni,1580
totali cancellati,maschi,40-64 anni,Liguria,2016,in altre regioni,1684
totali cancellati,femmine,fino a 17 anni,Liguria,2015,in altre regioni,728
totali cancellati,femmine,fino a 17 anni,Liguria,2016,in altre regioni,734
totali cancellati,femmine,65 anni e più,Liguria,2015,in altre regioni,1155
totali cancellati,femmine,65 anni e più,Liguria,2016,in altre regioni,1117
totali cancellati,femmine,18-39 anni,Liguria,2015,in altre regioni,2111
totali cancellati,femmine,18-39 anni,Liguria,2016,in altre regioni,2101
totali cancellati,femmine,40-64 anni,Liguria,2015,in altre regioni,1556
totali cancellati,femmine,40-64 anni,Liguria,2016,in altre regioni,1573
totali cancellati,maschi,fino a 17 anni,Liguria,2015,estero,310
totali cancellati,maschi,fino a 17 anni,Liguria,2016,estero,292
totali cancellati,maschi,65 anni e più,Liguria,2015,estero,157
totali cancellati,maschi,65 anni e più,Liguria,2016,estero,149
totali cancellati,maschi,18-39 anni,Liguria,2015,estero,895
totali cancellati,maschi,18-39 anni,Liguria,2016,estero,961
totali cancellati,maschi,40-64 anni,Liguria,2015,estero,661
totali cancellati,maschi,40-64 anni,Liguria,2016,estero,599
totali cancellati,femmine,fino a 17 anni,Liguria,2015,estero,299
totali cancellati,femmine,fino a 17 anni,Liguria,2016,estero,294
totali cancellati,femmine,65 anni e più,Liguria,2015,estero,151
totali cancellati,femmine,65 anni e più,Liguria,2016,estero,138
totali cancellati,femmine,18-39 anni,Liguria,2015,estero,833
totali cancellati,femmine,18-39 anni,Liguria,2016,estero,872
totali cancellati,femmine,40-64 anni,Liguria,2015,estero,558
totali cancellati,femmine,40-64 anni,Liguria,2016,estero,511
totali cancellati,maschi,fino a 17 anni,Lombardia,2015,in altre regioni,3457
totali cancellati,maschi,fino a 17 anni,Lombardia,2016,in altre regioni,3413
totali cancellati,maschi,65 anni e più,Lombardia,2015,in altre regioni,1936
totali cancellati,maschi,65 anni e più,Lombardia,2016,in altre regioni,2165
totali cancellati,maschi,18-39 anni,Lombardia,2015,in altre regioni,9605
totali cancellati,maschi,18-39 anni,Lombardia,2016,in altre regioni,9569
totali cancellati,maschi,40-64 anni,Lombardia,2015,in altre regioni,6523
totali cancellati,maschi,40-64 anni,Lombardia,2016,in altre regioni,6787
totali cancellati,femmine,fino a 17 anni,Lombardia,2015,in altre regioni,3237
totali cancellati,femmine,fino a 17 anni,Lombardia,2016,in altre regioni,3079
totali cancellati,femmine,65 anni e più,Lombardia,2015,in altre regioni,2527
totali cancellati,femmine,65 anni e più,Lombardia,2016,in altre regioni,2682
totali cancellati,femmine,18-39 anni,Lombardia,2015,in altre regioni,9067
totali cancellati,femmine,18-39 anni,Lombardia,2016,in altre regioni,9147
totali cancellati,femmine,40-64 anni,Lombardia,2015,in altre regioni,5687
totali cancellati,femmine,40-64 anni,Lombardia,2016,in altre regioni,5819
totali cancellati,maschi,fino a 17 anni,Lombardia,2015,estero,3343
totali cancellati,maschi,fino a 17 anni,Lombardia,2016,estero,3589
totali cancellati,maschi,65 anni e più,Lombardia,2015,estero,690
totali cancellati,maschi,65 anni e più,Lombardia,2016,estero,653
totali cancellati,maschi,18-39 anni,Lombardia,2015,estero,7136
totali cancellati,maschi,18-39 anni,Lombardia,2016,estero,7792
totali cancellati,maschi,40-64 anni,Lombardia,2015,estero,4958
totali cancellati,maschi,40-64 anni,Lombardia,2016,estero,4829
totali cancellati,femmine,fino a 17 anni,Lombardia,2015,estero,3089
totali cancellati,femmine,fino a 17 anni,Lombardia,2016,estero,3343
totali cancellati,femmine,65 anni e più,Lombardia,2015,estero,754
totali cancellati,femmine,65 anni e più,Lombardia,2016,estero,642
totali cancellati,femmine,18-39 anni,Lombardia,2015,estero,6493
totali cancellati,femmine,18-39 anni,Lombardia,2016,estero,7162
totali cancellati,femmine,40-64 anni,Lombardia,2015,estero,3484
totali cancellati,femmine,40-64 anni,Lombardia,2016,estero,3561
totali cancellati,maschi,fino a 17 anni,Trentino Alto Adige / Südtirol,2015,in altre regioni,339
totali cancellati,maschi,fino a 17 anni,Trentino Alto Adige / Südtirol,2016,in altre regioni,345
totali cancellati,maschi,65 anni e più,Trentino Alto Adige / Südtirol,2015,in altre regioni,116
totali cancellati,maschi,65 anni e più,Trentino Alto Adige / Südtirol,2016,in altre regioni,129
totali cancellati,maschi,18-39 anni,Trentino Alto Adige / Südtirol,2015,in altre regioni,1119
totali cancellati,maschi,18-39 anni,Trentino Alto Adige / Südtirol,2016,in altre regioni,1064
totali cancellati,maschi,40-64 anni,Trentino Alto Adige / Südtirol,2015,in altre regioni,532
totali cancellati,maschi,40-64 anni,Trentino Alto Adige / Südtirol,2016,in altre regioni,590
totali cancellati,femmine,fino a 17 anni,Trentino Alto Adige / Südtirol,2015,in altre regioni,345
totali cancellati,femmine,fino a 17 anni,Trentino Alto Adige / Südtirol,2016,in altre regioni,335
totali cancellati,femmine,65 anni e più,Trentino Alto Adige / Südtirol,2015,in altre regioni,148
totali cancellati,femmine,65 anni e più,Trentino Alto Adige / Südtirol,2016,in altre regioni,165
totali cancellati,femmine,18-39 anni,Trentino Alto Adige / Südtirol,2015,in altre regioni,1006
totali cancellati,femmine,18-39 anni,Trentino Alto Adige / Südtirol,2016,in altre regioni,1026
totali cancellati,femmine,40-64 anni,Trentino Alto Adige / Südtirol,2015,in altre regioni,493
totali cancellati,femmine,40-64 anni,Trentino Alto Adige / Südtirol,2016,in altre regioni,568
totali cancellati,maschi,fino a 17 anni,Trentino Alto Adige / Südtirol,2015,estero,346
totali cancellati,maschi,fino a 17 anni,Trentino Alto Adige / Südtirol,2016,estero,347
totali cancellati,maschi,65 anni e più,Trentino Alto Adige / Südtirol,2015,estero,98
totali cancellati,maschi,65 anni e più,Trentino Alto Adige / Südtirol,2016,estero,85
totali cancellati,maschi,18-39 anni,Trentino Alto Adige / Südtirol,2015,estero,1154
totali cancellati,maschi,18-39 anni,Trentino Alto Adige / Südtirol,2016,estero,1224
totali cancellati,maschi,40-64 anni,Trentino Alto Adige / Südtirol,2015,estero,476
totali cancellati,maschi,40-64 anni,Trentino Alto Adige / Südtirol,2016,estero,496
totali cancellati,femmine,fino a 17 anni,Trentino Alto Adige / Südtirol,2015,estero,341
totali cancellati,femmine,fino a 17 anni,Trentino Alto Adige / Südtirol,2016,estero,376
totali cancellati,femmine,65 anni e più,Trentino Alto Adige / Südtirol,2015,estero,109
totali cancellati,femmine,65 anni e più,Trentino Alto Adige / Südtirol,2016,estero,113
totali cancellati,femmine,18-39 anni,Trentino Alto Adige / Südtirol,2015,estero,1150
totali cancellati,femmine,18-39 anni,Trentino Alto Adige / Südtirol,2016,estero,1224
totali cancellati,femmine,40-64 anni,Trentino Alto Adige / Südtirol,2015,estero,452
totali cancellati,femmine,40-64 anni,Trentino Alto Adige / Südtirol,2016,estero,497
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,142
totali cancellati,maschi,fino a 17 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,125
totali cancellati,maschi,65 anni e più,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,36
totali cancellati,maschi,65 anni e più,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,37
totali cancellati,maschi,18-39 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,435
totali cancellati,maschi,18-39 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,433
totali cancellati,maschi,40-64 anni,Provincia Autonoma Bolzano / Bozen,2015,in altre regioni,199
totali cancellati,maschi,40-64 anni,Provincia Autonoma Bolzano / Bozen,2016,in altre regioni,227
