"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"2006","Italy","Total","Age reached during the year","Number","Total","58,407",""
"2006","Italy","Total","Age reached during the year","Number","Males","31,781",""
"2006","Italy","Total","Age reached during the year","Number","Females","26,626",""
"2006","Italy","Less than 1 year","Age reached during the year","Number","Total","190",""
"2006","Italy","Less than 1 year","Age reached during the year","Number","Males","97",""
"2006","Italy","Less than 1 year","Age reached during the year","Number","Females","93",""
"2006","Italy","1 year","Age reached during the year","Number","Total","620",""
"2006","Italy","1 year","Age reached during the year","Number","Males","320",""
"2006","Italy","1 year","Age reached during the year","Number","Females","300",""
"2006","Italy","2 years","Age reached during the year","Number","Total","712",""
"2006","Italy","2 years","Age reached during the year","Number","Males","353",""
"2006","Italy","2 years","Age reached during the year","Number","Females","359",""
"2006","Italy","3 years","Age reached during the year","Number","Total","678",""
"2006","Italy","3 years","Age reached during the year","Number","Males","340",""
"2006","Italy","3 years","Age reached during the year","Number","Females","338",""
"2006","Italy","4 years","Age reached during the year","Number","Total","656",""
"2006","Italy","4 years","Age reached during the year","Number","Males","333",""
"2006","Italy","4 years","Age reached during the year","Number","Females","323",""
"2006","Italy","5 years","Age reached during the year","Number","Total","616",""
"2006","Italy","5 years","Age reached during the year","Number","Males","301",""
"2006","Italy","5 years","Age reached during the year","Number","Females","315",""
"2006","Italy","6 years","Age reached during the year","Number","Total","631",""
"2006","Italy","6 years","Age reached during the year","Number","Males","320",""
"2006","Italy","6 years","Age reached during the year","Number","Females","311",""
"2006","Italy","7 years","Age reached during the year","Number","Total","577",""
"2006","Italy","7 years","Age reached during the year","Number","Males","287",""
"2006","Italy","7 years","Age reached during the year","Number","Females","290",""
"2006","Italy","8 years","Age reached during the year","Number","Total","607",""
"2006","Italy","8 years","Age reached during the year","Number","Males","311",""
"2006","Italy","8 years","Age reached during the year","Number","Females","296",""
"2006","Italy","9 years","Age reached during the year","Number","Total","571",""
"2006","Italy","9 years","Age reached during the year","Number","Males","287",""
"2006","Italy","9 years","Age reached during the year","Number","Females","284",""
"2006","Italy","10 years","Age reached during the year","Number","Total","460",""
"2006","Italy","10 years","Age reached during the year","Number","Males","242",""
"2006","Italy","10 years","Age reached during the year","Number","Females","218",""
"2006","Italy","11 years","Age reached during the year","Number","Total","441",""
"2006","Italy","11 years","Age reached during the year","Number","Males","228",""
"2006","Italy","11 years","Age reached during the year","Number","Females","213",""
"2006","Italy","12 years","Age reached during the year","Number","Total","432",""
"2006","Italy","12 years","Age reached during the year","Number","Males","248",""
"2006","Italy","12 years","Age reached during the year","Number","Females","184",""
"2006","Italy","13 years","Age reached during the year","Number","Total","474",""
"2006","Italy","13 years","Age reached during the year","Number","Males","241",""
"2006","Italy","13 years","Age reached during the year","Number","Females","233",""
"2006","Italy","14 years","Age reached during the year","Number","Total","432",""
"2006","Italy","14 years","Age reached during the year","Number","Males","226",""
"2006","Italy","14 years","Age reached during the year","Number","Females","206",""
"2006","Italy","15 years","Age reached during the year","Number","Total","435",""
"2006","Italy","15 years","Age reached during the year","Number","Males","217",""
"2006","Italy","15 years","Age reached during the year","Number","Females","218",""
"2006","Italy","16 years","Age reached during the year","Number","Total","459",""
"2006","Italy","16 years","Age reached during the year","Number","Males","251",""
"2006","Italy","16 years","Age reached during the year","Number","Females","208",""
"2006","Italy","17 years","Age reached during the year","Number","Total","401",""
"2006","Italy","17 years","Age reached during the year","Number","Males","216",""
"2006","Italy","17 years","Age reached during the year","Number","Females","185",""
"2006","Italy","18 years","Age reached during the year","Number","Total","412",""
"2006","Italy","18 years","Age reached during the year","Number","Males","223",""
"2006","Italy","18 years","Age reached during the year","Number","Females","189",""
"2006","Italy","19 years","Age reached during the year","Number","Total","438",""
"2006","Italy","19 years","Age reached during the year","Number","Males","242",""
"2006","Italy","19 years","Age reached during the year","Number","Females","196",""
"2006","Italy","20 years","Age reached during the year","Number","Total","537",""
"2006","Italy","20 years","Age reached during the year","Number","Males","303",""
"2006","Italy","20 years","Age reached during the year","Number","Females","234",""
"2006","Italy","21 years","Age reached during the year","Number","Total","563",""
"2006","Italy","21 years","Age reached during the year","Number","Males","297",""
"2006","Italy","21 years","Age reached during the year","Number","Females","266",""
"2006","Italy","22 years","Age reached during the year","Number","Total","644",""
"2006","Italy","22 years","Age reached during the year","Number","Males","330",""
"2006","Italy","22 years","Age reached during the year","Number","Females","314",""
"2006","Italy","23 years","Age reached during the year","Number","Total","755",""
"2006","Italy","23 years","Age reached during the year","Number","Males","381",""
"2006","Italy","23 years","Age reached during the year","Number","Females","374",""
"2006","Italy","24 years","Age reached during the year","Number","Total","864",""
"2006","Italy","24 years","Age reached during the year","Number","Males","465",""
"2006","Italy","24 years","Age reached during the year","Number","Females","399",""
"2006","Italy","25 years","Age reached during the year","Number","Total","1,057",""
"2006","Italy","25 years","Age reached during the year","Number","Males","564",""
"2006","Italy","25 years","Age reached during the year","Number","Females","493",""
"2006","Italy","26 years","Age reached during the year","Number","Total","1,265",""
"2006","Italy","26 years","Age reached during the year","Number","Males","638",""
"2006","Italy","26 years","Age reached during the year","Number","Females","627",""
"2006","Italy","27 years","Age reached during the year","Number","Total","1,368",""
"2006","Italy","27 years","Age reached during the year","Number","Males","713",""
"2006","Italy","27 years","Age reached during the year","Number","Females","655",""
"2006","Italy","28 years","Age reached during the year","Number","Total","1,566",""
"2006","Italy","28 years","Age reached during the year","Number","Males","825",""
"2006","Italy","28 years","Age reached during the year","Number","Females","741",""
"2006","Italy","29 years","Age reached during the year","Number","Total","1,607",""
"2006","Italy","29 years","Age reached during the year","Number","Males","851",""
"2006","Italy","29 years","Age reached during the year","Number","Females","756",""
"2006","Italy","30 years","Age reached during the year","Number","Total","1,785",""
"2006","Italy","30 years","Age reached during the year","Number","Males","999",""
"2006","Italy","30 years","Age reached during the year","Number","Females","786",""
"2006","Italy","31 years","Age reached during the year","Number","Total","1,743",""
"2006","Italy","31 years","Age reached during the year","Number","Males","953",""
"2006","Italy","31 years","Age reached during the year","Number","Females","790",""
"2006","Italy","32 years","Age reached during the year","Number","Total","1,818",""
"2006","Italy","32 years","Age reached during the year","Number","Males","992",""
"2006","Italy","32 years","Age reached during the year","Number","Females","826",""
"2006","Italy","33 years","Age reached during the year","Number","Total","1,683",""
"2006","Italy","33 years","Age reached during the year","Number","Males","948",""
"2006","Italy","33 years","Age reached during the year","Number","Females","735",""
"2006","Italy","34 years","Age reached during the year","Number","Total","1,680",""
"2006","Italy","34 years","Age reached during the year","Number","Males","953",""
"2006","Italy","34 years","Age reached during the year","Number","Females","727",""
"2006","Italy","35 years","Age reached during the year","Number","Total","1,595",""
"2006","Italy","35 years","Age reached during the year","Number","Males","882",""
"2006","Italy","35 years","Age reached during the year","Number","Females","713",""
"2006","Italy","36 years","Age reached during the year","Number","Total","1,467",""
"2006","Italy","36 years","Age reached during the year","Number","Males","789",""
"2006","Italy","36 years","Age reached during the year","Number","Females","678",""
"2006","Italy","37 years","Age reached during the year","Number","Total","1,399",""
"2006","Italy","37 years","Age reached during the year","Number","Males","811",""
"2006","Italy","37 years","Age reached during the year","Number","Females","588",""
"2006","Italy","38 years","Age reached during the year","Number","Total","1,304",""
"2006","Italy","38 years","Age reached during the year","Number","Males","753",""
"2006","Italy","38 years","Age reached during the year","Number","Females","551",""
"2006","Italy","39 years","Age reached during the year","Number","Total","1,204",""
"2006","Italy","39 years","Age reached during the year","Number","Males","703",""
"2006","Italy","39 years","Age reached during the year","Number","Females","501",""
"2006","Italy","40 years","Age reached during the year","Number","Total","1,106",""
"2006","Italy","40 years","Age reached during the year","Number","Males","620",""
"2006","Italy","40 years","Age reached during the year","Number","Females","486",""
"2006","Italy","41 years","Age reached during the year","Number","Total","1,117",""
"2006","Italy","41 years","Age reached during the year","Number","Males","660",""
"2006","Italy","41 years","Age reached during the year","Number","Females","457",""
"2006","Italy","42 years","Age reached during the year","Number","Total","1,014",""
"2006","Italy","42 years","Age reached during the year","Number","Males","597",""
"2006","Italy","42 years","Age reached during the year","Number","Females","417",""
"2006","Italy","43 years","Age reached during the year","Number","Total","959",""
"2006","Italy","43 years","Age reached during the year","Number","Males","553",""
"2006","Italy","43 years","Age reached during the year","Number","Females","406",""
"2006","Italy","44 years","Age reached during the year","Number","Total","872",""
"2006","Italy","44 years","Age reached during the year","Number","Males","531",""
"2006","Italy","44 years","Age reached during the year","Number","Females","341",""
"2006","Italy","45 years","Age reached during the year","Number","Total","822",""
"2006","Italy","45 years","Age reached during the year","Number","Males","468",""
"2006","Italy","45 years","Age reached during the year","Number","Females","354",""
"2006","Italy","46 years","Age reached during the year","Number","Total","819",""
"2006","Italy","46 years","Age reached during the year","Number","Males","488",""
"2006","Italy","46 years","Age reached during the year","Number","Females","331",""
"2006","Italy","47 years","Age reached during the year","Number","Total","768",""
"2006","Italy","47 years","Age reached during the year","Number","Males","481",""
"2006","Italy","47 years","Age reached during the year","Number","Females","287",""
"2006","Italy","48 years","Age reached during the year","Number","Total","652",""
"2006","Italy","48 years","Age reached during the year","Number","Males","382",""
"2006","Italy","48 years","Age reached during the year","Number","Females","270",""
"2006","Italy","49 years","Age reached during the year","Number","Total","654",""
"2006","Italy","49 years","Age reached during the year","Number","Males","413",""
"2006","Italy","49 years","Age reached during the year","Number","Females","241",""
"2006","Italy","50 years","Age reached during the year","Number","Total","600",""
"2006","Italy","50 years","Age reached during the year","Number","Males","334",""
"2006","Italy","50 years","Age reached during the year","Number","Females","266",""
"2006","Italy","51 years","Age reached during the year","Number","Total","590",""
"2006","Italy","51 years","Age reached during the year","Number","Males","342",""
"2006","Italy","51 years","Age reached during the year","Number","Females","248",""
"2006","Italy","52 years","Age reached during the year","Number","Total","567",""
"2006","Italy","52 years","Age reached during the year","Number","Males","332",""
"2006","Italy","52 years","Age reached during the year","Number","Females","235",""
"2006","Italy","53 years","Age reached during the year","Number","Total","519",""
"2006","Italy","53 years","Age reached during the year","Number","Males","297",""
"2006","Italy","53 years","Age reached during the year","Number","Females","222",""
"2006","Italy","54 years","Age reached during the year","Number","Total","554",""
"2006","Italy","54 years","Age reached during the year","Number","Males","314",""
"2006","Italy","54 years","Age reached during the year","Number","Females","240",""
"2006","Italy","55 years","Age reached during the year","Number","Total","503",""
"2006","Italy","55 years","Age reached during the year","Number","Males","283",""
"2006","Italy","55 years","Age reached during the year","Number","Females","220",""
"2006","Italy","56 years","Age reached during the year","Number","Total","530",""
"2006","Italy","56 years","Age reached during the year","Number","Males","316",""
"2006","Italy","56 years","Age reached during the year","Number","Females","214",""
"2006","Italy","57 years","Age reached during the year","Number","Total","474",""
"2006","Italy","57 years","Age reached during the year","Number","Males","261",""
"2006","Italy","57 years","Age reached during the year","Number","Females","213",""
"2006","Italy","58 years","Age reached during the year","Number","Total","518",""
"2006","Italy","58 years","Age reached during the year","Number","Males","286",""
"2006","Italy","58 years","Age reached during the year","Number","Females","232",""
"2006","Italy","59 years","Age reached during the year","Number","Total","494",""
"2006","Italy","59 years","Age reached during the year","Number","Males","286",""
"2006","Italy","59 years","Age reached during the year","Number","Females","208",""
"2006","Italy","60 years","Age reached during the year","Number","Total","532",""
"2006","Italy","60 years","Age reached during the year","Number","Males","292",""
"2006","Italy","60 years","Age reached during the year","Number","Females","240",""
"2006","Italy","61 years","Age reached during the year","Number","Total","399",""
"2006","Italy","61 years","Age reached during the year","Number","Males","202",""
"2006","Italy","61 years","Age reached during the year","Number","Females","197",""
"2006","Italy","62 years","Age reached during the year","Number","Total","449",""
"2006","Italy","62 years","Age reached during the year","Number","Males","246",""
"2006","Italy","62 years","Age reached during the year","Number","Females","203",""
"2006","Italy","63 years","Age reached during the year","Number","Total","404",""
"2006","Italy","63 years","Age reached during the year","Number","Males","216",""
"2006","Italy","63 years","Age reached during the year","Number","Females","188",""
"2006","Italy","64 years","Age reached during the year","Number","Total","418",""
"2006","Italy","64 years","Age reached during the year","Number","Males","211",""
"2006","Italy","64 years","Age reached during the year","Number","Females","207",""
"2006","Italy","65 years","Age reached during the year","Number","Total","396",""
"2006","Italy","65 years","Age reached during the year","Number","Males","230",""
"2006","Italy","65 years","Age reached during the year","Number","Females","166",""
"2006","Italy","66 years","Age reached during the year","Number","Total","390",""
"2006","Italy","66 years","Age reached during the year","Number","Males","211",""
"2006","Italy","66 years","Age reached during the year","Number","Females","179",""
"2006","Italy","67 years","Age reached during the year","Number","Total","482",""
"2006","Italy","67 years","Age reached during the year","Number","Males","267",""
"2006","Italy","67 years","Age reached during the year","Number","Females","215",""
"2006","Italy","68 years","Age reached during the year","Number","Total","394",""
"2006","Italy","68 years","Age reached during the year","Number","Males","194",""
"2006","Italy","68 years","Age reached during the year","Number","Females","200",""
"2006","Italy","69 years","Age reached during the year","Number","Total","364",""
"2006","Italy","69 years","Age reached during the year","Number","Males","194",""
"2006","Italy","69 years","Age reached during the year","Number","Females","170",""
"2006","Italy","70 years","Age reached during the year","Number","Total","370",""
"2006","Italy","70 years","Age reached during the year","Number","Males","199",""
"2006","Italy","70 years","Age reached during the year","Number","Females","171",""
"2006","Italy","71 years","Age reached during the year","Number","Total","373",""
"2006","Italy","71 years","Age reached during the year","Number","Males","194",""
"2006","Italy","71 years","Age reached during the year","Number","Females","179",""
"2006","Italy","72 years","Age reached during the year","Number","Total","319",""
"2006","Italy","72 years","Age reached during the year","Number","Males","160",""
"2006","Italy","72 years","Age reached during the year","Number","Females","159",""
"2006","Italy","73 years","Age reached during the year","Number","Total","310",""
"2006","Italy","73 years","Age reached during the year","Number","Males","162",""
"2006","Italy","73 years","Age reached during the year","Number","Females","148",""
"2006","Italy","74 years","Age reached during the year","Number","Total","263",""
"2006","Italy","74 years","Age reached during the year","Number","Males","126",""
"2006","Italy","74 years","Age reached during the year","Number","Females","137",""
"2006","Italy","75 years","Age reached during the year","Number","Total","294",""
"2006","Italy","75 years","Age reached during the year","Number","Males","119",""
"2006","Italy","75 years","Age reached during the year","Number","Females","175",""
"2006","Italy","76 years","Age reached during the year","Number","Total","275",""
"2006","Italy","76 years","Age reached during the year","Number","Males","141",""
"2006","Italy","76 years","Age reached during the year","Number","Females","134",""
"2006","Italy","77 years","Age reached during the year","Number","Total","230",""
"2006","Italy","77 years","Age reached during the year","Number","Males","119",""
"2006","Italy","77 years","Age reached during the year","Number","Females","111",""
"2006","Italy","78 years","Age reached during the year","Number","Total","228",""
"2006","Italy","78 years","Age reached during the year","Number","Males","95",""
"2006","Italy","78 years","Age reached during the year","Number","Females","133",""
"2006","Italy","79 years","Age reached during the year","Number","Total","198",""
"2006","Italy","79 years","Age reached during the year","Number","Males","91",""
"2006","Italy","79 years","Age reached during the year","Number","Females","107",""
"2006","Italy","80 years","Age reached during the year","Number","Total","172",""
"2006","Italy","80 years","Age reached during the year","Number","Males","78",""
"2006","Italy","80 years","Age reached during the year","Number","Females","94",""
"2006","Italy","81 years","Age reached during the year","Number","Total","139",""
"2006","Italy","81 years","Age reached during the year","Number","Males","61",""
"2006","Italy","81 years","Age reached during the year","Number","Females","78",""
"2006","Italy","82 years","Age reached during the year","Number","Total","130",""
"2006","Italy","82 years","Age reached during the year","Number","Males","64",""
"2006","Italy","82 years","Age reached during the year","Number","Females","66",""
"2006","Italy","83 years","Age reached during the year","Number","Total","104",""
"2006","Italy","83 years","Age reached during the year","Number","Males","42",""
