"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Italy","Age reached during the year","Total","Number","Total","279,714",""
"2006","Italy","Age reached during the year","Total","Number","Males","129,313",""
"2006","Italy","Age reached during the year","Total","Number","Females","150,401",""
"2006","Italy","Age reached during the year","Less than 1 year","Number","Total","929",""
"2006","Italy","Age reached during the year","Less than 1 year","Number","Males","445",""
"2006","Italy","Age reached during the year","Less than 1 year","Number","Females","484",""
"2006","Italy","Age reached during the year","1 year","Number","Total","2,779",""
"2006","Italy","Age reached during the year","1 year","Number","Males","1,440",""
"2006","Italy","Age reached during the year","1 year","Number","Females","1,339",""
"2006","Italy","Age reached during the year","2 years","Number","Total","3,239",""
"2006","Italy","Age reached during the year","2 years","Number","Males","1,707",""
"2006","Italy","Age reached during the year","2 years","Number","Females","1,532",""
"2006","Italy","Age reached during the year","3 years","Number","Total","3,036",""
"2006","Italy","Age reached during the year","3 years","Number","Males","1,585",""
"2006","Italy","Age reached during the year","3 years","Number","Females","1,451",""
"2006","Italy","Age reached during the year","4 years","Number","Total","2,943",""
"2006","Italy","Age reached during the year","4 years","Number","Males","1,520",""
"2006","Italy","Age reached during the year","4 years","Number","Females","1,423",""
"2006","Italy","Age reached during the year","5 years","Number","Total","3,228",""
"2006","Italy","Age reached during the year","5 years","Number","Males","1,649",""
"2006","Italy","Age reached during the year","5 years","Number","Females","1,579",""
"2006","Italy","Age reached during the year","6 years","Number","Total","3,488",""
"2006","Italy","Age reached during the year","6 years","Number","Males","1,846",""
"2006","Italy","Age reached during the year","6 years","Number","Females","1,642",""
"2006","Italy","Age reached during the year","7 years","Number","Total","3,368",""
"2006","Italy","Age reached during the year","7 years","Number","Males","1,774",""
"2006","Italy","Age reached during the year","7 years","Number","Females","1,594",""
"2006","Italy","Age reached during the year","8 years","Number","Total","3,439",""
"2006","Italy","Age reached during the year","8 years","Number","Males","1,799",""
"2006","Italy","Age reached during the year","8 years","Number","Females","1,640",""
"2006","Italy","Age reached during the year","9 years","Number","Total","3,465",""
"2006","Italy","Age reached during the year","9 years","Number","Males","1,812",""
"2006","Italy","Age reached during the year","9 years","Number","Females","1,653",""
"2006","Italy","Age reached during the year","10 years","Number","Total","3,374",""
"2006","Italy","Age reached during the year","10 years","Number","Males","1,748",""
"2006","Italy","Age reached during the year","10 years","Number","Females","1,626",""
"2006","Italy","Age reached during the year","11 years","Number","Total","3,329",""
"2006","Italy","Age reached during the year","11 years","Number","Males","1,786",""
"2006","Italy","Age reached during the year","11 years","Number","Females","1,543",""
"2006","Italy","Age reached during the year","12 years","Number","Total","3,472",""
"2006","Italy","Age reached during the year","12 years","Number","Males","1,845",""
"2006","Italy","Age reached during the year","12 years","Number","Females","1,627",""
"2006","Italy","Age reached during the year","13 years","Number","Total","3,378",""
"2006","Italy","Age reached during the year","13 years","Number","Males","1,752",""
"2006","Italy","Age reached during the year","13 years","Number","Females","1,626",""
"2006","Italy","Age reached during the year","14 years","Number","Total","3,409",""
"2006","Italy","Age reached during the year","14 years","Number","Males","1,788",""
"2006","Italy","Age reached during the year","14 years","Number","Females","1,621",""
"2006","Italy","Age reached during the year","15 years","Number","Total","3,579",""
"2006","Italy","Age reached during the year","15 years","Number","Males","1,938",""
"2006","Italy","Age reached during the year","15 years","Number","Females","1,641",""
"2006","Italy","Age reached during the year","16 years","Number","Total","3,997",""
"2006","Italy","Age reached during the year","16 years","Number","Males","2,203",""
"2006","Italy","Age reached during the year","16 years","Number","Females","1,794",""
"2006","Italy","Age reached during the year","17 years","Number","Total","4,628",""
"2006","Italy","Age reached during the year","17 years","Number","Males","2,638",""
"2006","Italy","Age reached during the year","17 years","Number","Females","1,990",""
"2006","Italy","Age reached during the year","18 years","Number","Total","6,349",""
"2006","Italy","Age reached during the year","18 years","Number","Males","3,752",""
"2006","Italy","Age reached during the year","18 years","Number","Females","2,597",""
"2006","Italy","Age reached during the year","19 years","Number","Total","6,146",""
"2006","Italy","Age reached during the year","19 years","Number","Males","3,090",""
"2006","Italy","Age reached during the year","19 years","Number","Females","3,056",""
"2006","Italy","Age reached during the year","20 years","Number","Total","5,206",""
"2006","Italy","Age reached during the year","20 years","Number","Males","2,147",""
"2006","Italy","Age reached during the year","20 years","Number","Females","3,059",""
"2006","Italy","Age reached during the year","21 years","Number","Total","5,781",""
"2006","Italy","Age reached during the year","21 years","Number","Males","2,120",""
"2006","Italy","Age reached during the year","21 years","Number","Females","3,661",""
"2006","Italy","Age reached during the year","22 years","Number","Total","6,856",""
"2006","Italy","Age reached during the year","22 years","Number","Males","2,576",""
"2006","Italy","Age reached during the year","22 years","Number","Females","4,280",""
"2006","Italy","Age reached during the year","23 years","Number","Total","7,710",""
"2006","Italy","Age reached during the year","23 years","Number","Males","2,914",""
"2006","Italy","Age reached during the year","23 years","Number","Females","4,796",""
"2006","Italy","Age reached during the year","24 years","Number","Total","8,605",""
"2006","Italy","Age reached during the year","24 years","Number","Males","3,422",""
"2006","Italy","Age reached during the year","24 years","Number","Females","5,183",""
"2006","Italy","Age reached during the year","25 years","Number","Total","9,263",""
"2006","Italy","Age reached during the year","25 years","Number","Males","3,722",""
"2006","Italy","Age reached during the year","25 years","Number","Females","5,541",""
"2006","Italy","Age reached during the year","26 years","Number","Total","9,736",""
"2006","Italy","Age reached during the year","26 years","Number","Males","4,042",""
"2006","Italy","Age reached during the year","26 years","Number","Females","5,694",""
"2006","Italy","Age reached during the year","27 years","Number","Total","9,624",""
"2006","Italy","Age reached during the year","27 years","Number","Males","4,105",""
"2006","Italy","Age reached during the year","27 years","Number","Females","5,519",""
"2006","Italy","Age reached during the year","28 years","Number","Total","9,437",""
"2006","Italy","Age reached during the year","28 years","Number","Males","4,234",""
"2006","Italy","Age reached during the year","28 years","Number","Females","5,203",""
"2006","Italy","Age reached during the year","29 years","Number","Total","9,064",""
"2006","Italy","Age reached during the year","29 years","Number","Males","4,036",""
"2006","Italy","Age reached during the year","29 years","Number","Females","5,028",""
"2006","Italy","Age reached during the year","30 years","Number","Total","8,532",""
"2006","Italy","Age reached during the year","30 years","Number","Males","3,923",""
"2006","Italy","Age reached during the year","30 years","Number","Females","4,609",""
"2006","Italy","Age reached during the year","31 years","Number","Total","8,028",""
"2006","Italy","Age reached during the year","31 years","Number","Males","3,672",""
"2006","Italy","Age reached during the year","31 years","Number","Females","4,356",""
