"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","460,890","293,702","37,201","330,903","129,987","71.80%"
"25 - 29","338,720","242,373","29,639","272,012","66,708","80.31%"
"30 - 34","300,030","244,685","26,325","271,010","29,020","90.33%"
"35 - 39","277,740","246,865","24,804","271,669","6,071","97.81%"
"40 - 44","288,630","254,287","24,672","278,959","9,671","96.65%"
"45 - 49","316,900","286,059","25,253","311,312","5,588","98.24%"
"50 - 54","310,050","280,876","22,986","303,862","6,188","98.00%"
"55 - 59","300,620","279,332","21,188","300,520","100","99.97%"
"60 - 64","261,050","243,501","15,586","259,087","1,963","99.25%"
"65 - 69","231,930","218,001","11,134","229,135","2,795","98.79%"
"70+","483,270","463,517","15,312","478,829","4,441","99.08%"
"Total","3,569,830","3,053,198","254,100","3,307,298","262,532","92.65%"
