"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","16,200","4,244","216","4,460","11,740","27.53%"
"25 - 29","14,950","4,520","154","4,674","10,276","31.26%"
"30 - 34","10,850","4,716","124","4,840","6,010","44.61%"
"35 - 39","5,760","3,820","128","3,948","1,812","68.54%"
"40 - 44","4,050","3,239","133","3,372","678","83.26%"
"45 - 49","3,750","3,332","131","3,463","287","92.35%"
"50 - 54","3,430","3,019","122","3,141","289","91.57%"
"55 - 59","3,330","2,968","111","3,079","251","92.46%"
"60 - 64","2,900","2,583","80","2,663","237","91.83%"
"65 - 69","2,610","2,335","58","2,393","217","91.69%"
"70+","3,610","3,276","69","3,345","265","92.66%"
"Total","71,440","38,052","1,326","39,378","32,062","55.12%"
