"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,290","3,849","566","4,415","875","83.46%"
"25 - 29","3,670","3,137","517","3,654","16","99.56%"
"30 - 34","3,660","3,469","532","4,001","-341","109.32%"
"35 - 39","3,900","3,755","549","4,304","-404","110.36%"
"40 - 44","4,660","4,326","478","4,804","-144","103.09%"
"45 - 49","5,100","4,758","481","5,239","-139","102.73%"
"50 - 54","5,070","4,711","410","5,121","-51","101.01%"
"55 - 59","4,850","4,688","381","5,069","-219","104.52%"
"60 - 64","4,600","4,403","280","4,683","-83","101.80%"
"65 - 69","4,360","4,421","183","4,604","-244","105.60%"
"70+","10,150","10,054","290","10,344","-194","101.91%"
"Total","55,310","51,571","4,667","56,238","-928","101.68%"
