"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,450","4,988","224","5,212","2,238","69.96%"
"25 - 29","5,400","4,082","199","4,281","1,119","79.28%"
"30 - 34","5,330","4,421","193","4,614","716","86.57%"
"35 - 39","4,820","4,821","159","4,980","-160","103.32%"
"40 - 44","4,480","4,199","155","4,354","126","97.19%"
"45 - 49","5,050","4,846","152","4,998","52","98.97%"
"50 - 54","4,880","4,778","126","4,904","-24","100.49%"
"55 - 59","4,380","4,344","126","4,470","-90","102.05%"
"60 - 64","3,780","3,715","86","3,801","-21","100.56%"
"65 - 69","3,180","3,181","60","3,241","-61","101.92%"
"70+","5,730","5,874","61","5,935","-205","103.58%"
"Total","54,480","49,249","1,541","50,790","3,690","93.23%"
