"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,700","4,313","391","4,704","2,996","61.09%"
"25 - 29","7,270","4,734","307","5,041","2,229","69.34%"
"30 - 34","6,300","4,149","226","4,375","1,925","69.44%"
"35 - 39","5,100","3,778","184","3,962","1,138","77.69%"
"40 - 44","4,770","3,757","191","3,948","822","82.77%"
"45 - 49","4,860","3,989","182","4,171","689","85.82%"
"50 - 54","4,470","3,807","177","3,984","486","89.13%"
"55 - 59","4,140","3,652","143","3,795","345","91.67%"
"60 - 64","3,390","2,959","103","3,062","328","90.32%"
"65 - 69","2,830","2,577","72","2,649","181","93.60%"
"70+","6,540","6,741","79","6,820","-280","104.28%"
"Total","57,370","44,456","2,055","46,511","10,859","81.07%"
