"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,290","4,103","541","4,644","1,646","73.83%"
"25 - 29","5,190","3,622","390","4,012","1,178","77.30%"
"30 - 34","4,770","3,463","345","3,808","962","79.83%"
"35 - 39","4,390","3,526","306","3,832","558","87.29%"
"40 - 44","4,780","3,903","294","4,197","583","87.80%"
"45 - 49","5,050","4,403","290","4,693","357","92.93%"
"50 - 54","4,680","3,979","243","4,222","458","90.21%"
"55 - 59","4,550","4,193","174","4,367","183","95.98%"
"60 - 64","3,810","3,549","152","3,701","109","97.14%"
"65 - 69","3,120","2,938","90","3,028","92","97.05%"
"70+","6,500","6,005","95","6,100","400","93.85%"
"Total","53,130","43,684","2,920","46,604","6,526","87.72%"
