"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,570","3,819","282","4,101","1,469","73.63%"
"25 - 29","5,140","3,052","207","3,259","1,881","63.40%"
"30 - 34","5,100","3,495","192","3,687","1,413","72.29%"
"35 - 39","4,870","3,807","172","3,979","891","81.70%"
"40 - 44","4,760","4,204","150","4,354","406","91.47%"
"45 - 49","5,080","4,487","171","4,658","422","91.69%"
"50 - 54","4,850","4,439","170","4,609","241","95.03%"
"55 - 59","4,880","4,518","149","4,667","213","95.64%"
"60 - 64","4,060","3,821","103","3,924","136","96.65%"
"65 - 69","3,520","3,372","84","3,456","64","98.18%"
"70+","7,100","6,695","85","6,780","320","95.49%"
"Total","54,930","45,709","1,765","47,474","7,456","86.43%"
