"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","4,420","3,155","516","3,671","749","83.05%"
"25 - 29","3,220","2,498","385","2,883","337","89.53%"
"30 - 34","2,890","2,450","348","2,798","92","96.82%"
"35 - 39","3,010","2,515","318","2,833","177","94.12%"
"40 - 44","3,610","3,042","364","3,406","204","94.35%"
"45 - 49","4,490","3,873","403","4,276","214","95.23%"
"50 - 54","4,960","4,367","390","4,757","203","95.91%"
"55 - 59","5,510","5,247","406","5,653","-143","102.60%"
"60 - 64","5,520","5,492","328","5,820","-300","105.43%"
"65 - 69","6,190","6,153","238","6,391","-201","103.25%"
"70+","13,400","13,125","343","13,468","-68","100.51%"
"Total","57,220","51,917","4,039","55,956","1,264","97.79%"
