"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","17,450","9,905","515","10,420","7,030","59.71%"
"25 - 29","5,020","4,027","213","4,240","780","84.46%"
"30 - 34","3,560","3,236","148","3,384","176","95.06%"
"35 - 39","3,170","3,120","135","3,255","-85","102.68%"
"40 - 44","3,280","3,142","124","3,266","14","99.57%"
"45 - 49","3,670","3,502","126","3,628","42","98.86%"
"50 - 54","3,650","3,490","119","3,609","41","98.88%"
"55 - 59","3,820","3,677","100","3,777","43","98.87%"
"60 - 64","3,330","3,158","57","3,215","115","96.55%"
"65 - 69","2,790","2,657","51","2,708","82","97.06%"
"70+","5,680","5,456","57","5,513","167","97.06%"
"Total","55,420","45,370","1,645","47,015","8,405","84.83%"
