"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,430","4,170","248","4,418","1,012","81.36%"
"25 - 29","3,520","3,216","176","3,392","128","96.36%"
"30 - 34","3,550","3,405","178","3,583","-33","100.93%"
"35 - 39","3,490","3,380","169","3,549","-59","101.69%"
"40 - 44","3,920","3,704","142","3,846","74","98.11%"
"45 - 49","4,540","4,397","148","4,545","-5","100.11%"
"50 - 54","4,610","4,384","132","4,516","94","97.96%"
"55 - 59","4,720","4,656","106","4,762","-42","100.89%"
"60 - 64","4,160","4,061","97","4,158","2","99.95%"
"65 - 69","3,770","3,684","67","3,751","19","99.50%"
"70+","8,710","8,674","85","8,759","-49","100.56%"
"Total","50,420","47,731","1,548","49,279","1,141","97.74%"
