"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,170","4,989","125","5,114","2,056","71.32%"
"25 - 29","5,160","3,714","83","3,797","1,363","73.59%"
"30 - 34","4,590","4,071","61","4,132","458","90.02%"
"35 - 39","4,060","4,202","77","4,279","-219","105.39%"
"40 - 44","4,200","3,860","72","3,932","268","93.62%"
"45 - 49","5,190","4,699","66","4,765","425","91.81%"
"50 - 54","4,880","4,454","62","4,516","364","92.54%"
"55 - 59","4,370","4,157","47","4,204","166","96.20%"
"60 - 64","3,700","3,488","33","3,521","179","95.16%"
"65 - 69","2,830","2,702","23","2,725","105","96.29%"
"70+","5,840","5,807","22","5,829","11","99.81%"
"Total","51,990","46,143","671","46,814","5,176","90.04%"
