"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","8,580","4,035","2,835","6,870","1,710","80.07%"
"25 - 29","5,960","3,280","2,240","5,520","440","92.62%"
"30 - 34","5,190","3,160","2,098","5,258","-68","101.31%"
"35 - 39","5,230","3,130","2,024","5,154","76","98.55%"
"40 - 44","5,900","3,478","2,105","5,583","317","94.63%"
"45 - 49","6,540","4,191","2,134","6,325","215","96.71%"
"50 - 54","6,560","4,386","1,992","6,378","182","97.23%"
"55 - 59","7,150","5,026","2,106","7,132","18","99.75%"
"60 - 64","6,580","4,804","1,651","6,455","125","98.10%"
"65 - 69","5,940","4,564","1,266","5,830","110","98.15%"
"70+","11,400","9,277","1,769","11,046","354","96.89%"
"Total","75,030","49,331","22,220","71,551","3,479","95.36%"
