"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","9,040","6,214","139","6,353","2,687","70.28%"
"25 - 29","7,800","4,909","106","5,015","2,785","64.29%"
"30 - 34","5,440","3,959","58","4,017","1,423","73.84%"
"35 - 39","3,700","3,449","55","3,504","196","94.70%"
"40 - 44","3,750","3,662","73","3,735","15","99.60%"
"45 - 49","4,810","4,918","63","4,981","-171","103.56%"
"50 - 54","5,270","5,276","61","5,337","-67","101.27%"
"55 - 59","4,400","4,531","55","4,586","-186","104.23%"
"60 - 64","3,550","3,621","39","3,660","-110","103.10%"
"65 - 69","3,050","3,034","20","3,054","-4","100.13%"
"70+","5,640","5,804","24","5,828","-188","103.33%"
"Total","56,450","49,377","693","50,070","6,380","88.7%"
