"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","8,850","5,021","1,128","6,149","2,701","69.48%"
"25 - 29","7,340","5,306","1,022","6,328","1,012","86.21%"
"30 - 34","6,510","5,173","923","6,096","414","93.64%"
"35 - 39","5,560","4,462","771","5,233","327","94.12%"
"40 - 44","4,860","4,021","716","4,737","123","97.47%"
"45 - 49","4,800","4,124","704","4,828","-28","100.58%"
"50 - 54","4,410","3,771","579","4,350","60","98.64%"
"55 - 59","4,360","3,825","521","4,346","14","99.68%"
"60 - 64","3,980","3,465","343","3,808","172","95.68%"
"65 - 69","3,280","2,938","276","3,214","66","97.99%"
"70+","6,400","6,052","295","6,347","53","99.17%"
"Total","60,350","48,158","7,278","55,436","4,914","91.86%"
