"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,960","4,531","305","4,836","1,124","81.14%"
"25 - 29","3,920","3,313","194","3,507","413","89.46%"
"30 - 34","3,300","3,416","187","3,603","-303","109.18%"
"35 - 39","3,580","3,865","169","4,034","-454","112.68%"
"40 - 44","4,490","4,423","214","4,637","-147","103.27%"
"45 - 49","5,620","5,565","247","5,812","-192","103.42%"
"50 - 54","5,590","5,372","224","5,596","-6","100.11%"
"55 - 59","4,980","5,007","197","5,204","-224","104.50%"
"60 - 64","3,950","3,812","123","3,935","15","99.62%"
"65 - 69","3,290","3,084","69","3,153","137","95.84%"
"70+","5,190","4,764","85","4,849","341","93.43%"
"Total","49,870","47,152","2,014","49,166","704","98.59%"
