"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,420","4,732","482","5,214","1,206","81.21%"
"25 - 29","4,310","3,578","347","3,925","385","91.07%"
"30 - 34","3,870","3,784","257","4,041","-171","104.42%"
"35 - 39","4,100","4,137","287","4,424","-324","107.90%"
"40 - 44","5,020","4,738","330","5,068","-48","100.96%"
"45 - 49","5,650","5,481","296","5,777","-127","102.25%"
"50 - 54","5,520","5,220","255","5,475","45","99.18%"
"55 - 59","4,980","4,812","257","5,069","-89","101.79%"
"60 - 64","4,080","4,021","173","4,194","-114","102.79%"
"65 - 69","3,570","3,574","118","3,692","-122","103.42%"
"70+","6,730","6,807","149","6,956","-226","103.36%"
"Total","54,250","50,884","2,951","53,835","415","99.24%"
