"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,370","4,614","579","5,193","1,177","81.52%"
"25 - 29","4,830","4,156","445","4,601","229","95.26%"
"30 - 34","4,500","4,360","411","4,771","-271","106.02%"
"35 - 39","4,930","4,666","434","5,100","-170","103.45%"
"40 - 44","5,040","4,510","422","4,932","108","97.86%"
"45 - 49","5,400","4,923","422","5,345","55","98.98%"
"50 - 54","5,160","4,747","365","5,112","48","99.07%"
"55 - 59","5,120","4,769","353","5,122","-2","100.04%"
"60 - 64","4,270","3,997","228","4,225","45","98.95%"
"65 - 69","3,480","3,183","163","3,346","134","96.15%"
"70+","6,810","6,539","194","6,733","77","98.87%"
"Total","55,910","50,464","4,016","54,480","1,430","97.44%"
