"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","10,450","5,880","239","6,119","4,331","58.56%"
"25 - 29","5,560","3,575","149","3,724","1,836","66.98%"
"30 - 34","4,130","3,127","117","3,244","886","78.55%"
"35 - 39","3,450","3,064","96","3,160","290","91.59%"
"40 - 44","3,470","3,241","85","3,326","144","95.85%"
"45 - 49","4,240","3,990","91","4,081","159","96.25%"
"50 - 54","4,370","3,970","70","4,040","330","92.45%"
"55 - 59","4,180","3,883","60","3,943","237","94.33%"
"60 - 64","3,650","3,460","60","3,520","130","96.44%"
"65 - 69","3,080","2,924","37","2,961","119","96.14%"
"70+","7,610","7,419","63","7,482","128","98.32%"
"Total","54,190","44,533","1,067","45,600","8,590","84.15%"
