"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,540","4,163","453","4,616","924","83.32%"
"25 - 29","4,610","3,484","316","3,800","810","82.43%"
"30 - 34","4,190","3,482","366","3,848","342","91.84%"
"35 - 39","4,190","3,438","349","3,787","403","90.38%"
"40 - 44","4,150","3,637","298","3,935","215","94.82%"
"45 - 49","4,480","4,015","243","4,258","222","95.04%"
"50 - 54","4,710","4,222","233","4,455","255","94.59%"
"55 - 59","4,740","4,476","228","4,704","36","99.24%"
"60 - 64","4,060","3,886","148","4,034","26","99.36%"
"65 - 69","3,500","3,218","144","3,362","138","96.06%"
"70+","7,590","7,243","212","7,455","135","98.22%"
"Total","51,760","45,264","2,990","48,254","3,506","93.23%"
