"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","4,310","3,203","344","3,547","763","82.30%"
"25 - 29","3,310","2,542","235","2,777","533","83.90%"
"30 - 34","3,450","2,793","217","3,010","440","87.25%"
"35 - 39","3,520","2,975","198","3,173","347","90.14%"
"40 - 44","4,020","3,670","207","3,877","143","96.44%"
"45 - 49","4,700","4,316","212","4,528","172","96.34%"
"50 - 54","4,910","4,603","212","4,815","95","98.07%"
"55 - 59","5,260","5,072","209","5,281","-21","100.40%"
"60 - 64","4,910","4,724","155","4,879","31","99.37%"
"65 - 69","4,820","4,643","114","4,757","63","98.69%"
"70+","9,740","9,366","154","9,520","220","97.74%"
"Total","52,950","47,907","2,257","50,164","2,786","94.74%"
