"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,290","4,507","487","4,994","2,296","68.50%"
"25 - 29","6,110","4,343","419","4,762","1,348","77.94%"
"30 - 34","5,660","4,772","356","5,128","532","90.60%"
"35 - 39","5,150","4,573","314","4,887","263","94.89%"
"40 - 44","4,780","4,148","320","4,468","312","93.47%"
"45 - 49","4,710","4,283","326","4,609","101","97.86%"
"50 - 54","4,190","3,792","305","4,097","93","97.78%"
"55 - 59","3,880","3,588","251","3,839","41","98.94%"
"60 - 64","3,170","2,898","156","3,054","116","96.34%"
"65 - 69","2,410","2,219","80","2,299","111","95.39%"
"70+","4,520","4,110","125","4,235","285","93.69%"
"Total","51,870","43,233","3,139","46,372","5,498","89.4%"
