"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,690","4,541","764","5,305","1,385","79.30%"
"25 - 29","4,470","3,749","599","4,348","122","97.27%"
"30 - 34","3,930","3,911","528","4,439","-509","112.95%"
"35 - 39","4,490","4,252","550","4,802","-312","106.95%"
"40 - 44","5,190","4,662","528","5,190","0","100.00%"
"45 - 49","5,530","4,971","539","5,510","20","99.64%"
"50 - 54","5,260","4,721","435","5,156","104","98.02%"
"55 - 59","4,820","4,476","359","4,835","-15","100.31%"
"60 - 64","4,130","3,696","309","4,005","125","96.97%"
"65 - 69","3,530","3,170","205","3,375","155","95.61%"
"70+","6,570","6,025","265","6,290","280","95.74%"
"Total","54,610","48,174","5,081","53,255","1,355","97.52%"
