"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","9,040","5,788","677","6,465","2,575","71.52%"
"25 - 29","6,260","4,962","652","5,614","646","89.68%"
"30 - 34","5,110","4,598","563","5,161","-51","101.00%"
"35 - 39","4,470","4,379","483","4,862","-392","108.77%"
"40 - 44","4,140","4,073","504","4,577","-437","110.56%"
"45 - 49","4,330","4,154","594","4,748","-418","109.65%"
"50 - 54","4,010","3,951","456","4,407","-397","109.90%"
"55 - 59","3,370","3,413","347","3,760","-390","111.57%"
"60 - 64","2,760","2,574","274","2,848","-88","103.19%"
"65 - 69","2,330","2,121","211","2,332","-2","100.09%"
"70+","4,040","3,906","334","4,240","-200","104.95%"
"Total","49,860","43,919","5,095","49,014","846","98.3%"
