"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","8,450","5,059","621","5,680","2,770","67.22%"
"25 - 29","6,870","4,734","584","5,318","1,552","77.41%"
"30 - 34","5,600","4,536","520","5,056","544","90.29%"
"35 - 39","4,740","4,369","477","4,846","-106","102.24%"
"40 - 44","4,190","3,919","421","4,340","-150","103.58%"
"45 - 49","4,240","3,998","488","4,486","-246","105.80%"
"50 - 54","4,020","3,820","456","4,276","-256","106.37%"
"55 - 59","3,610","3,399","398","3,797","-187","105.18%"
"60 - 64","2,920","2,667","287","2,954","-34","101.16%"
"65 - 69","2,280","2,079","196","2,275","5","99.78%"
"70+","4,150","4,005","249","4,254","-104","102.51%"
"Total","51,070","42,585","4,697","47,282","3,788","92.58%"
