"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","9,040","5,254","1,207","6,461","2,579","71.47%"
"25 - 29","7,100","5,079","1,167","6,246","854","87.97%"
"30 - 34","6,070","4,838","1,023","5,861","209","96.56%"
"35 - 39","5,250","4,559","917","5,476","-226","104.30%"
"40 - 44","4,620","3,962","845","4,807","-187","104.05%"
"45 - 49","4,690","3,975","878","4,853","-163","103.48%"
"50 - 54","4,440","3,799","717","4,516","-76","101.71%"
"55 - 59","4,060","3,430","624","4,054","6","99.85%"
"60 - 64","3,260","2,849","430","3,279","-19","100.58%"
"65 - 69","2,630","2,212","262","2,474","156","94.07%"
"70+","4,270","3,694","290","3,984","286","93.30%"
"Total","55,430","43,651","8,360","52,011","3,419","93.83%"
