"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,530","4,573","465","5,038","1,492","77.15%"
"25 - 29","7,160","5,029","454","5,483","1,677","76.58%"
"30 - 34","6,960","5,637","394","6,031","929","86.65%"
"35 - 39","6,280","5,447","344","5,791","489","92.21%"
"40 - 44","5,150","4,712","369","5,081","69","98.66%"
"45 - 49","4,620","4,327","308","4,635","-15","100.32%"
"50 - 54","4,030","3,732","278","4,010","20","99.50%"
"55 - 59","3,840","3,523","259","3,782","58","98.49%"
"60 - 64","3,360","2,987","213","3,200","160","95.24%"
"65 - 69","2,660","2,444","128","2,572","88","96.69%"
"70+","5,300","5,165","152","5,317","-17","100.32%"
"Total","55,890","47,576","3,364","50,940","4,950","91.14%"
