"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,630","4,775","297","5,072","2,558","66.47%"
"25 - 29","8,210","5,127","240","5,367","2,843","65.37%"
"30 - 34","6,990","5,284","192","5,476","1,514","78.34%"
"35 - 39","5,720","5,321","199","5,520","200","96.50%"
"40 - 44","5,530","5,354","220","5,574","-44","100.80%"
"45 - 49","5,100","5,177","215","5,392","-292","105.73%"
"50 - 54","4,360","4,402","162","4,564","-204","104.68%"
"55 - 59","3,580","3,674","138","3,812","-232","106.48%"
"60 - 64","2,810","2,798","96","2,894","-84","102.99%"
"65 - 69","2,160","2,053","65","2,118","42","98.06%"
"70+","3,940","3,905","76","3,981","-41","101.04%"
"Total","56,030","47,870","1,900","49,770","6,260","88.83%"
