"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,070","3,787","926","4,713","1,357","77.64%"
"25 - 29","4,140","2,994","757","3,751","389","90.60%"
"30 - 34","3,600","2,865","649","3,514","86","97.61%"
"35 - 39","3,800","3,100","712","3,812","-12","100.32%"
"40 - 44","4,430","3,671","729","4,400","30","99.32%"
"45 - 49","5,060","4,285","707","4,992","68","98.66%"
"50 - 54","5,130","4,358","650","5,008","122","97.62%"
"55 - 59","5,340","4,645","623","5,268","72","98.65%"
"60 - 64","4,810","4,209","499","4,708","102","97.88%"
"65 - 69","4,670","4,200","348","4,548","122","97.39%"
"70+","10,050","9,284","553","9,837","213","97.88%"
"Total","57,100","47,398","7,153","54,551","2,549","95.54%"
