"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,280","4,015","362","4,377","903","82.90%"
"25 - 29","3,630","3,194","264","3,458","172","95.26%"
"30 - 34","3,560","3,302","219","3,521","39","98.90%"
"35 - 39","3,590","3,482","195","3,677","-87","102.42%"
"40 - 44","4,350","3,946","208","4,154","196","95.49%"
"45 - 49","5,120","4,847","192","5,039","81","98.42%"
"50 - 54","5,220","4,993","182","5,175","45","99.14%"
"55 - 59","5,040","4,950","142","5,092","-52","101.03%"
"60 - 64","4,450","4,410","98","4,508","-58","101.30%"
"65 - 69","4,300","4,246","48","4,294","6","99.86%"
"70+","9,410","9,322","82","9,404","6","99.94%"
"Total","53,950","50,707","1,992","52,699","1,251","97.68%"
