"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,840","4,391","274","4,665","2,175","68.20%"
"25 - 29","5,900","3,910","199","4,109","1,791","69.64%"
"30 - 34","5,600","4,522","195","4,717","883","84.23%"
"35 - 39","4,950","4,756","172","4,928","22","99.56%"
"40 - 44","4,450","4,120","143","4,263","187","95.80%"
"45 - 49","4,540","4,351","155","4,506","34","99.25%"
"50 - 54","4,310","4,211","173","4,384","-74","101.72%"
"55 - 59","3,920","3,737","155","3,892","28","99.29%"
"60 - 64","3,330","3,222","87","3,309","21","99.37%"
"65 - 69","2,630","2,505","53","2,558","72","97.26%"
"70+","6,390","6,312","100","6,412","-22","100.34%"
"Total","52,860","46,037","1,706","47,743","5,117","90.32%"
