"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,700","4,150","582","4,732","968","83.02%"
"25 - 29","4,520","3,571","472","4,043","477","89.45%"
"30 - 34","4,190","3,686","414","4,100","90","97.85%"
"35 - 39","4,330","3,732","406","4,138","192","95.57%"
"40 - 44","4,800","4,108","409","4,517","283","94.10%"
"45 - 49","5,090","4,602","370","4,972","118","97.68%"
"50 - 54","4,900","4,326","350","4,676","224","95.43%"
"55 - 59","5,150","4,759","325","5,084","66","98.72%"
"60 - 64","4,610","4,348","230","4,578","32","99.31%"
"65 - 69","4,170","3,948","170","4,118","52","98.75%"
"70+","9,300","8,919","230","9,149","151","98.38%"
"Total","56,760","50,149","3,958","54,107","2,653","95.33%"
