"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,020","5,003","207","5,210","1,810","74.22%"
"25 - 29","5,130","3,787","152","3,939","1,191","76.78%"
"30 - 34","4,480","3,651","102","3,753","727","83.77%"
"35 - 39","4,120","3,880","79","3,959","161","96.09%"
"40 - 44","4,480","4,322","73","4,395","85","98.10%"
"45 - 49","5,130","4,965","95","5,060","70","98.64%"
"50 - 54","5,030","4,929","69","4,998","32","99.36%"
"55 - 59","4,560","4,594","62","4,656","-96","102.11%"
"60 - 64","3,740","3,791","52","3,843","-103","102.75%"
"65 - 69","3,560","3,415","36","3,451","109","96.94%"
"70+","7,520","7,610","52","7,662","-142","101.89%"
"Total","54,770","49,947","979","50,926","3,844","92.98%"
