"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,710","4,568","341","4,909","1,801","73.16%"
"25 - 29","6,160","4,285","267","4,552","1,608","73.90%"
"30 - 34","6,050","5,042","227","5,269","781","87.09%"
"35 - 39","5,590","5,256","227","5,483","107","98.09%"
"40 - 44","5,050","4,666","213","4,879","171","96.61%"
"45 - 49","4,790","4,686","208","4,894","-104","102.17%"
"50 - 54","4,240","4,102","146","4,248","-8","100.19%"
"55 - 59","3,890","3,693","133","3,826","64","98.35%"
"60 - 64","3,270","3,177","82","3,259","11","99.66%"
"65 - 69","2,850","2,782","56","2,838","12","99.58%"
"70+","5,870","5,930","100","6,030","-160","102.73%"
"Total","54,470","48,187","2,000","50,187","4,283","92.14%"
