"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,950","3,210","1,754","4,964","1,986","71.42%"
"25 - 29","4,390","2,460","1,299","3,759","631","85.63%"
"30 - 34","3,990","2,555","1,197","3,752","238","94.04%"
"35 - 39","4,080","2,738","1,153","3,891","189","95.37%"
"40 - 44","4,970","3,169","1,288","4,457","513","89.68%"
"45 - 49","5,850","4,011","1,456","5,467","383","93.45%"
"50 - 54","6,610","4,684","1,571","6,255","355","94.63%"
"55 - 59","7,300","5,524","1,569","7,093","207","97.16%"
"60 - 64","7,030","5,707","1,235","6,942","88","98.75%"
"65 - 69","6,700","5,704","927","6,631","69","98.97%"
"70+","12,550","10,390","1,484","11,874","676","94.61%"
"Total","70,420","50,152","14,933","65,085","5,335","92.42%"
