"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,420","4,379","208","4,587","833","84.63%"
"25 - 29","4,360","3,824","162","3,986","374","91.42%"
"30 - 34","4,350","4,496","160","4,656","-306","107.03%"
"35 - 39","4,570","4,943","160","5,103","-533","111.66%"
"40 - 44","4,750","4,985","180","5,165","-415","108.74%"
"45 - 49","5,100","5,293","162","5,455","-355","106.96%"
"50 - 54","4,860","4,904","139","5,043","-183","103.77%"
"55 - 59","4,080","4,131","108","4,239","-159","103.90%"
"60 - 64","3,180","3,177","86","3,263","-83","102.61%"
"65 - 69","2,570","2,555","38","2,593","-23","100.89%"
"70+","4,810","4,764","55","4,819","-9","100.19%"
"Total","48,050","47,451","1,458","48,909","-859","101.79%"
