"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","4,600","3,290","543","3,833","767","83.33%"
"25 - 29","2,920","2,413","430","2,843","77","97.36%"
"30 - 34","2,630","2,264","371","2,635","-5","100.19%"
"35 - 39","2,750","2,467","349","2,816","-66","102.40%"
"40 - 44","3,580","3,016","340","3,356","224","93.74%"
"45 - 49","4,500","4,006","401","4,407","93","97.93%"
"50 - 54","4,800","4,325","382","4,707","93","98.06%"
"55 - 59","4,970","4,609","368","4,977","-7","100.14%"
"60 - 64","4,460","4,319","266","4,585","-125","102.80%"
"65 - 69","4,960","4,848","216","5,064","-104","102.10%"
"70+","14,100","13,717","322","14,039","61","99.57%"
"Total","54,270","49,274","3,988","53,262","1,008","98.14%"
