"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,940","4,576","209","4,785","2,155","68.95%"
"25 - 29","4,880","3,617","121","3,738","1,142","76.60%"
"30 - 34","4,510","3,735","127","3,862","648","85.63%"
"35 - 39","4,090","3,997","109","4,106","-16","100.39%"
"40 - 44","4,350","4,043","100","4,143","207","95.24%"
"45 - 49","5,170","4,867","111","4,978","192","96.29%"
"50 - 54","4,870","4,643","91","4,734","136","97.21%"
"55 - 59","4,180","4,087","85","4,172","8","99.81%"
"60 - 64","3,610","3,515","60","3,575","35","99.03%"
"65 - 69","3,130","3,029","34","3,063","67","97.86%"
"70+","6,760","6,903","49","6,952","-192","102.84%"
"Total","52,490","47,012","1,096","48,108","4,382","91.65%"
