"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","9,520","5,152","641","5,793","3,727","60.85%"
"25 - 29","5,990","4,193","512","4,705","1,285","78.55%"
"30 - 34","4,930","3,739","452","4,191","739","85.01%"
"35 - 39","4,310","3,556","436","3,992","318","92.62%"
"40 - 44","4,110","3,450","352","3,802","308","92.51%"
"45 - 49","4,230","3,669","371","4,040","190","95.51%"
"50 - 54","4,050","3,535","316","3,851","199","95.09%"
"55 - 59","4,170","3,815","300","4,115","55","98.68%"
"60 - 64","3,480","3,241","186","3,427","53","98.48%"
"65 - 69","3,090","2,909","128","3,037","53","98.28%"
"70+","7,220","6,812","164","6,976","244","96.62%"
"Total","55,100","44,071","3,858","47,929","7,171","86.99%"
