"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,640","4,193","316","4,509","1,131","79.95%"
"25 - 29","4,390","3,574","232","3,806","584","86.70%"
"30 - 34","4,230","3,770","194","3,964","266","93.71%"
"35 - 39","4,240","4,067","165","4,232","8","99.81%"
"40 - 44","4,620","4,280","166","4,446","174","96.23%"
"45 - 49","5,320","4,958","168","5,126","194","96.35%"
"50 - 54","5,160","4,956","101","5,057","103","98.00%"
"55 - 59","5,070","4,984","121","5,105","-35","100.69%"
"60 - 64","4,230","4,163","91","4,254","-24","100.57%"
"65 - 69","3,840","3,755","83","3,838","2","99.95%"
"70+","7,960","7,645","84","7,729","231","97.10%"
"Total","54,700","50,345","1,721","52,066","2,634","95.18%"
