"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,270","4,052","244","4,296","974","81.52%"
"25 - 29","4,200","3,249","202","3,451","749","82.17%"
"30 - 34","4,040","3,249","160","3,409","631","84.38%"
"35 - 39","3,830","3,159","138","3,297","533","86.08%"
"40 - 44","4,160","3,459","157","3,616","544","86.92%"
"45 - 49","4,570","4,018","138","4,156","414","90.94%"
"50 - 54","4,690","4,282","125","4,407","283","93.97%"
"55 - 59","4,780","4,449","103","4,552","228","95.23%"
"60 - 64","4,270","3,991","96","4,087","183","95.71%"
"65 - 69","4,100","3,851","76","3,927","173","95.78%"
"70+","9,760","9,477","100","9,577","183","98.13%"
"Total","53,670","47,236","1,539","48,775","4,895","90.88%"
