"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,470","4,495","529","5,024","1,446","77.65%"
"25 - 29","4,480","3,941","487","4,428","52","98.84%"
"30 - 34","4,340","4,088","462","4,550","-210","104.84%"
"35 - 39","4,540","4,168","481","4,649","-109","102.40%"
"40 - 44","4,950","4,390","433","4,823","127","97.43%"
"45 - 49","5,290","4,798","402","5,200","90","98.30%"
"50 - 54","4,960","4,499","360","4,859","101","97.96%"
"55 - 59","4,870","4,485","345","4,830","40","99.18%"
"60 - 64","3,910","3,592","246","3,838","72","98.16%"
"65 - 69","3,430","3,098","170","3,268","162","95.28%"
"70+","7,560","7,200","211","7,411","149","98.03%"
"Total","54,800","48,754","4,126","52,880","1,920","96.5%"
