"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,820","5,100","350","5,450","1,370","79.91%"
"25 - 29","6,320","5,162","265","5,427","893","85.87%"
"30 - 34","5,500","5,054","218","5,272","228","95.85%"
"35 - 39","5,130","4,973","212","5,185","-55","101.07%"
"40 - 44","4,960","4,912","241","5,153","-193","103.89%"
"45 - 49","4,870","4,874","258","5,132","-262","105.38%"
"50 - 54","4,710","4,573","220","4,793","-83","101.76%"
"55 - 59","4,060","4,050","193","4,243","-183","104.51%"
"60 - 64","3,140","3,027","146","3,173","-33","101.05%"
"65 - 69","2,430","2,426","79","2,505","-75","103.09%"
"70+","4,870","4,883","100","4,983","-113","102.32%"
"Total","52,810","49,034","2,282","51,316","1,494","97.17%"
