"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,340","3,983","1,935","5,918","1,422","80.63%"
"25 - 29","5,380","3,213","1,601","4,814","566","89.48%"
"30 - 34","4,590","3,208","1,336","4,544","46","99.00%"
"35 - 39","4,660","3,219","1,289","4,508","152","96.74%"
"40 - 44","5,090","3,689","1,288","4,977","113","97.78%"
"45 - 49","5,470","4,117","1,349","5,466","4","99.93%"
"50 - 54","5,610","4,363","1,166","5,529","81","98.56%"
"55 - 59","5,650","4,473","1,147","5,620","30","99.47%"
"60 - 64","4,840","3,943","806","4,749","91","98.12%"
"65 - 69","4,300","3,578","574","4,152","148","96.56%"
"70+","8,630","7,536","777","8,313","317","96.33%"
"Total","61,560","45,322","13,268","58,590","2,970","95.18%"
