"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,850","4,573","252","4,825","2,025","70.44%"
"25 - 29","4,080","3,432","174","3,606","474","88.38%"
"30 - 34","3,820","3,795","136","3,931","-111","102.91%"
"35 - 39","4,060","4,235","111","4,346","-286","107.04%"
"40 - 44","4,960","4,804","134","4,938","22","99.56%"
"45 - 49","5,920","5,727","142","5,869","51","99.14%"
"50 - 54","5,420","5,353","128","5,481","-61","101.13%"
"55 - 59","5,130","5,204","98","5,302","-172","103.35%"
"60 - 64","4,310","4,363","50","4,413","-103","102.39%"
"65 - 69","3,650","3,689","55","3,744","-94","102.58%"
"70+","5,860","5,778","60","5,838","22","99.62%"
"Total","54,060","50,953","1,340","52,293","1,767","96.73%"
