"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,640","4,190","251","4,441","1,199","78.74%"
"25 - 29","4,750","3,547","200","3,747","1,003","78.88%"
"30 - 34","4,340","3,731","168","3,899","441","89.84%"
"35 - 39","4,360","4,123","180","4,303","57","98.69%"
"40 - 44","4,590","4,550","168","4,718","-128","102.79%"
"45 - 49","4,810","4,806","152","4,958","-148","103.08%"
"50 - 54","4,440","4,540","141","4,681","-241","105.43%"
"55 - 59","4,060","4,157","139","4,296","-236","105.81%"
"60 - 64","3,780","3,788","99","3,887","-107","102.83%"
"65 - 69","3,320","3,247","99","3,346","-26","100.78%"
"70+","6,730","6,897","99","6,996","-266","103.95%"
"Total","50,820","47,576","1,696","49,272","1,548","96.95%"
