"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,740","3,853","772","4,625","1,115","80.57%"
"25 - 29","4,030","2,941","480","3,421","609","84.89%"
"30 - 34","4,030","3,258","502","3,760","270","93.30%"
"35 - 39","4,100","3,459","522","3,981","119","97.10%"
"40 - 44","4,590","3,783","491","4,274","316","93.12%"
"45 - 49","5,230","4,230","550","4,780","450","91.40%"
"50 - 54","5,260","4,412","565","4,977","283","94.62%"
"55 - 59","5,320","4,573","553","5,126","194","96.35%"
"60 - 64","4,620","4,114","446","4,560","60","98.70%"
"65 - 69","4,000","3,535","306","3,841","159","96.03%"
"70+","7,570","6,747","459","7,206","364","95.19%"
"Total","54,490","44,905","5,646","50,551","3,939","92.77%"
