"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,530","3,903","815","4,718","1,812","72.25%"
"25 - 29","4,590","3,034","658","3,692","898","80.44%"
"30 - 34","4,190","3,175","614","3,789","401","90.43%"
"35 - 39","4,310","3,253","651","3,904","406","90.58%"
"40 - 44","4,870","3,730","682","4,412","458","90.60%"
"45 - 49","5,770","4,734","704","5,438","332","94.25%"
"50 - 54","5,740","4,702","646","5,348","392","93.17%"
"55 - 59","5,610","4,914","630","5,544","66","98.82%"
"60 - 64","4,850","4,339","441","4,780","70","98.56%"
"65 - 69","4,620","4,319","329","4,648","-28","100.61%"
"70+","10,450","9,876","538","10,414","36","99.66%"
"Total","61,530","49,979","6,708","56,687","4,843","92.13%"
