"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,520","3,819","490","4,309","1,211","78.06%"
"25 - 29","4,150","3,267","404","3,671","479","88.46%"
"30 - 34","3,950","3,491","385","3,876","74","98.13%"
"35 - 39","3,680","3,421","350","3,771","-91","102.47%"
"40 - 44","4,230","3,688","348","4,036","194","95.41%"
"45 - 49","4,670","4,329","359","4,688","-18","100.39%"
"50 - 54","4,520","4,129","328","4,457","63","98.61%"
"55 - 59","4,670","4,320","281","4,601","69","98.52%"
"60 - 64","4,270","3,981","191","4,172","98","97.70%"
"65 - 69","3,960","3,814","120","3,934","26","99.34%"
"70+","10,900","10,967","188","11,155","-255","102.34%"
"Total","54,520","49,226","3,444","52,670","1,850","96.61%"
