"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,130","4,743","618","5,361","1,769","75.19%"
"25 - 29","5,490","4,227","474","4,701","789","85.63%"
"30 - 34","5,660","4,768","439","5,207","453","92.00%"
"35 - 39","5,460","4,860","433","5,293","167","96.94%"
"40 - 44","5,010","4,427","433","4,860","150","97.01%"
"45 - 49","4,900","4,417","412","4,829","71","98.55%"
"50 - 54","4,540","4,172","361","4,533","7","99.85%"
"55 - 59","4,130","3,838","342","4,180","-50","101.21%"
"60 - 64","3,370","3,064","201","3,265","105","96.88%"
"65 - 69","2,730","2,520","120","2,640","90","96.70%"
"70+","5,980","5,557","171","5,728","252","95.79%"
"Total","54,400","46,593","4,004","50,597","3,803","93.01%"
