"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,390","4,185","1,072","5,257","1,133","82.27%"
"25 - 29","4,240","3,150","968","4,118","122","97.12%"
"30 - 34","3,770","3,063","874","3,937","-167","104.43%"
"35 - 39","3,970","3,246","832","4,078","-108","102.72%"
"40 - 44","4,690","3,777","788","4,565","125","97.33%"
"45 - 49","5,440","4,495","797","5,292","148","97.28%"
"50 - 54","5,480","4,558","746","5,304","176","96.79%"
"55 - 59","5,440","4,754","676","5,430","10","99.82%"
"60 - 64","4,730","4,195","514","4,709","21","99.56%"
"65 - 69","4,450","3,958","408","4,366","84","98.11%"
"70+","9,380","8,736","477","9,213","167","98.22%"
"Total","57,980","48,117","8,152","56,269","1,711","97.05%"
