"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","7,400","5,116","380","5,496","1,904","74.27%"
"25 - 29","6,510","5,007","374","5,381","1,129","82.66%"
"30 - 34","6,240","5,483","309","5,792","448","92.82%"
"35 - 39","5,470","5,258","287","5,545","-75","101.37%"
"40 - 44","4,880","4,417","246","4,663","217","95.55%"
"45 - 49","5,060","4,773","233","5,006","54","98.93%"
"50 - 54","4,780","4,438","205","4,643","137","97.13%"
"55 - 59","4,210","4,068","186","4,254","-44","101.05%"
"60 - 64","3,510","3,404","116","3,520","-10","100.28%"
"65 - 69","2,700","2,519","74","2,593","107","96.04%"
"70+","4,430","4,568","75","4,643","-213","104.81%"
"Total","55,190","49,051","2,485","51,536","3,654","93.38%"
