"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","6,880","4,657","951","5,608","1,272","81.51%"
"25 - 29","4,660","3,569","808","4,377","283","93.93%"
"30 - 34","4,230","3,457","739","4,196","34","99.20%"
"35 - 39","4,200","3,496","709","4,205","-5","100.12%"
"40 - 44","4,820","4,063","728","4,791","29","99.40%"
"45 - 49","6,110","5,120","703","5,823","287","95.30%"
"50 - 54","5,910","5,046","663","5,709","201","96.60%"
"55 - 59","5,820","4,940","589","5,529","291","95.00%"
"60 - 64","4,870","4,218","487","4,705","165","96.61%"
"65 - 69","4,020","3,661","316","3,977","43","98.93%"
"70+","8,420","7,794","433","8,227","193","97.71%"
"Total","59,940","50,021","7,126","57,147","2,793","95.34%"
