"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,760","4,175","217","4,392","1,368","76.25%"
"25 - 29","3,550","2,927","155","3,082","468","86.82%"
"30 - 34","3,270","2,964","136","3,100","170","94.80%"
"35 - 39","3,430","3,115","122","3,237","193","94.37%"
"40 - 44","4,240","3,735","142","3,877","363","91.44%"
"45 - 49","5,260","4,804","139","4,943","317","93.97%"
"50 - 54","5,130","4,815","98","4,913","217","95.77%"
"55 - 59","4,900","4,706","111","4,817","83","98.31%"
"60 - 64","4,310","4,203","80","4,283","27","99.37%"
"65 - 69","4,050","4,061","62","4,123","-73","101.80%"
"70+","8,550","8,668","92","8,760","-210","102.46%"
"Total","52,450","48,173","1,354","49,527","2,923","94.43%"
