"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled"
"18 - 24","5,190","3,745","741","4,486","704","86.44%"
"25 - 29","3,500","2,940","512","3,452","48","98.63%"
"30 - 34","3,270","2,815","393","3,208","62","98.10%"
"35 - 39","3,530","3,168","423","3,591","-61","101.73%"
"40 - 44","4,090","3,573","402","3,975","115","97.19%"
"45 - 49","4,830","4,314","412","4,726","104","97.85%"
"50 - 54","4,950","4,469","454","4,923","27","99.45%"
"55 - 59","5,400","5,026","409","5,435","-35","100.65%"
"60 - 64","5,130","4,782","291","5,073","57","98.89%"
"65 - 69","4,840","4,699","221","4,920","-80","101.65%"
"70+","9,980","9,673","309","9,982","-2","100.02%"
"Total","54,710","49,204","4,567","53,771","939","98.28%"
